volume,plate,ku_id,ku_title,ku_english,ku_printed_latin,ku_sci,note
IV,75,ku-gould:14030,Black-headed Honeyeater. 75. plate,Black-headed Honeyeater,Melithreptus melanocephalus,Melithreptus affinis,printed_english=Black-headed honey-eater
IV,76,ku-gould:14026,Noisy Miner. 76. plate,Noisy Miner,Myzantha garrula,Manorina melanocephala,printed_english=Garrulous honey-eater
IV,77,ku-gould:14022,Yellow-throated Miner. 77. plate,Yellow-throated Miner,Myzantha obscura,Manorina flavigula obscura,printed_english=Sombre honey-eater
IV,78,ku-gould:14018,Yellow-throated Miner. 78. plate,Yellow-throated Miner,Myzantha lutea,Manorina flavigula,printed_english=Luteous honey-eater
IV,79,ku-gould:14014,Yellow-throated Miner. 79. plate,Yellow-throated Miner,Myzantha flavigula,Manorina flavigula lutea,
IV,80,ku-gould:14010,Bell Miner. 80. plate,Bell Miner,Myzantha melanophrys,Manorina melanophrys,printed_english=Australian bell bird
IV,81,ku-gould:14006,Silvereye. 81. plate,Silvereye,Zosterops dorsalis,Zosterops lateralis,printed_english=Grey-backed zosterops
IV,82,ku-gould:14002,Mauritius Olive White-eye. 82. plate,Mauritius Olive White-eye,Zosterops chloronotus,Zosterops chloronothos,printed_english=Green-backed zosterops
IV,83,ku-gould:13998,Canary White-eye. 83. plate,Canary White-eye,Yellow zosterops,Zosterops luteus,
IV,84,ku-gould:13994,Australian Cuckoo. 84. plate,Australian Cuckoo,,Cuculus optatus,
IV,85,ku-gould:13990,Pallad Cuckoo. 85. plate,Pallad Cuckoo,Cuculus inornatus,Cuculus pallidus,printed_english=Unadorned cuckoo
IV,86,ku-gould:13986,Fan-tailed Cuckoo. 86. plate,Fan-tailed Cuckoo,Cuculus cineraceus,Cacomantis flabelliformis,printed_english=Ash-coloured cuckoo
IV,87,ku-gould:13982,Brush Cuckoo. 87. plate,Brush Cuckoo,Cuculus insperatus,Cacomantis variolosus,
IV,88,ku-gould:13978,Black-eared Cuckoo. 88. plate,Black-eared Cuckoo,Chalcites osculans,Chrysococcyx osculans,
IV,89,ku-gould:13974,Shining Bronze Cuckoo. 89. plate,Shining Bronze Cuckoo,Shining cuckoo,Chrysococcyx lucidus,
IV,90,ku-gould:13970,Channel-billed Cuckoo. 90. plate,Channel-billed Cuckoo,Scythrops novae-hollandiae,Scythrops novaehollandiae,printed_english=Channel bill
IV,91,ku-gould:13966,Asian Koel. 91. plate,Asian Koel,Eudynamys flindersii,Eudynamys scolopaceus,printed_english=Flinder's cuckoo
IV,92,ku-gould:13962,Pheasant Coucal. 92. plate,Pheasant Coucal,Centropus phasianus,Centropus phasianinus,printed_english=Pheasant cuckoo
IV,93,ku-gould:13958,White-throated Treecreeper. 93. plate,White-throated Treecreeper,Climacteris scandens,Cormobates leucophaea,printed_english=Brown tree-creeper
IV,94,ku-gould:13954,Rufous Treecreeper. 94. plate,Rufous Treecreeper,Climacteris rufa,Climacteris rufus,printed_english=Rufous tree creeper
IV,95,ku-gould:13950,Red-browed Treecreeper. 95. plate,Red-browed Treecreeper,,Climacteris erythrops,printed_alt_name=Red-eyebrowed tree-creeper
IV,96,ku-gould:13946,Black-tailed Treecreeper. 96. plate,Black-tailed Treecreeper,Climacteris melanotus,Climacteris melanurus,printed_english=Black-backed tree-creeper
IV,97,ku-gould:13942,Black-tailed Treecreeper. 97. plate,Black-tailed Treecreeper,Climacteris melanura,Climacteris melanurus,printed_english=Black-tailed tree-creeper
IV,98,ku-gould:13938,Brown Treecreeper. 98. plate,Brown Treecreeper,,Climacteris picumnus,printed_alt_name=White-throated tree-creeper
IV,99,ku-gould:13934,Australian Logrunner. 99. plate,Australian Logrunner,Orthonyx spinicaudus,Orthonyx t emminckii,printed_english=Spine-tailed orthonyx
IV,100,ku-gould:13930,Paradise Riflebird. 100. plate,Paradise Riflebird,Rifle bird,Ptiloris paradiseus,
IV,101,ku-gould:13926,Varied Sittella. 101. plate,Varied Sittella,Sittella chrysoptera,Daphoenositta chrysoptera,printed_english=Orange-winged sittella
IV,102,ku-gould:13922,Varied Sittella. 102. plate,Varied Sittella,Sittella leucocephala,Daphoenositta chrysoptera,printed_english=White-headed sittella
IV,103,ku-gould:13918,Varied Sittella. 103. plate,Varied Sittella,Sittella leucoptera,Daphoenositta chrysoptera,printed_english=White-winged sittella
IV,104,ku-gould:13914,Varied Sittella. 104. plate,Varied Sittella,Sittella pileata,Daphoenositta chrysoptera,printed_english=Black-capped sittella
V,1,ku-gould:13892,Sulphur-crested Cockatoo. 1. plate,Sulphur-crested Cockatoo,Crested cockatoo,Cacatua galerita,
V,2,ku-gould:13888,Major Mitchell's Cockatoo. 2. plate,Major Mitchell's Cockatoo,Cacatua leadbeaterii,Cacatua leadbeateri,printed_english=Leadbeater's cockatoo
V,3,ku-gould:13884,Little Corella. 3. plate,Little Corella,,Cacatua sanguinea,printed_alt_name=Blood-stained cockatoo
V,4,ku-gould:13880,Galah. 4. plate,Galah,Cacatua eos,Eolophus roseicapilla,printed_english=Rose-breasted cockatoo
V,5,ku-gould:13876,Long-billed Corella. 5. plate,Long-billed Corella,Licmetis nasicus,Cacatua tenuirostris,printed_english=Long-billed cockatoo
V,6,ku-gould:13872,Norfolk Island Kaka. 6. plate,Norfolk Island Kaka,Philip island parrot,Nestor productus,
V,7,ku-gould:13868,Red-tailed Black Cockatoo. 7. plate,Red-tailed Black Cockatoo,Bankisan cockatoo,Calyptorhynchus banksii,
V,8,ku-gould:13864,Red-tailed Black Cockatoo. 8. plate,Red-tailed Black Cockatoo,Calyptorhynchus macrorhynchus,Calyptorhynchus banksii,printed_english=Great-billed black cockatoo
V,9,ku-gould:13860,Red-tailed Black Cockatoo. 9. plate,Red-tailed Black Cockatoo,Calyptorhynchus naso,Calyptorhynchus banksii,printed_english=Western black cockatoo
V,10,ku-gould:13856,Glossy Black Cockatoo. 10. plate,Glossy Black Cockatoo,Calyptorhynchus leachii,Calyptorhynchus lathami,printed_english=Leach's cockatoo
V,11,ku-gould:13852,Yellow-tailed Black Cockatoo. 11. plate,Yellow-tailed Black Cockatoo,Funereal cockatoo,Calyptorhynchus funereus,
V,12,ku-gould:13848,Yellow-tailed Black Cockatoo. 12. plate,Yellow-tailed Black Cockatoo,Calyptorhynchus xanthonotus,Calyptorhynchus funereus,printed_english=Yellow-eared black cockatoo
V,13,ku-gould:13844,Long-billed Black Cockatoo. 13. plate,Long-billed Black Cockatoo,,Calyptorhynchus baudinii,printed_alt_name=Baudin's cockatoo
V,14,ku-gould:13840,Gang-gang Cockatoo. 14. plate,Gang-gang Cockatoo,Callocephalon galeatum,Callocephalon fimbriatum,
V,15,ku-gould:13836,Regent Parrot. 15. plate,Regent Parrot,Polytelis barrabandii,Polytelis anthopeplus,printed_english=Barraband's parrakeet
V,16,ku-gould:13832,Superb Parrot. 16. plate,Superb Parrot,Polytelis melanura,Polytelis swainsonii,printed_english=Black-tailed parrakeet
V,17,ku-gould:13828,Australian King Parrot. 17. plate,Australian King Parrot,Aprosmictus scapulatus,Alisterus scapularis,printed_english=King lory
