volume,plate,ku_id,ku_title,ku_english,ku_printed_latin,ku_sci,note
VII,85,ku-gould:12824,"Fairy Penguin, Little Penguin. 85. plate","Fairy Penguin, Little Penguin",Spheniscus undina,Eudyptula minor,printed_english=Fairy penguin
Supp,1,ku-gould:12799,Grass Owl. 1. plate,Grass Owl,Strix candida,Tyto capensis,printed_english=Grass-owl
Supp,2,ku-gould:12795,Laughing Owl. 2. plate,Laughing Owl,,Sceloglaux albifacies,printed_alt_name=Wekau
Supp,3,ku-gould:12791,Papuan Frogmouth. 3. plate,Papuan Frogmouth,Papuan podargus,Podargus papuensis,
Supp,4,ku-gould:12787,Marbled Frogmouth. 4. plate,Marbled Frogmouth,Podargus marmoratus,Podargus ocellatus,printed_english=Marbled podargus
Supp,5,ku-gould:12783,Yellow-billed Kingfisher. 5. plate,Yellow-billed Kingfisher,Halcyon flavirostris,Syma torotoro,
Supp,6,ku-gould:12779,Buff-breasted Paradise Kingfisher. 6. plate,Buff-breasted Paradise Kingfisher,,Tanysiptera sylvia,printed_alt_name=White-tailed tanysiptera
Supp,7,ku-gould:12775,Black-faced Woodswallow. 7. plate,Black-faced Woodswallow,Artamus melanops,Artamus cinereus,printed_english=Black-faced wood-swallow
Supp,8,ku-gould:12771,Spotted Pardalote. 8. plate,Spotted Pardalote,Pardalotus xanthopygius,Pardalotus punctatus,printed_english=Yellow-rumped pardalote
Supp,9,ku-gould:12767,Trumpet Manucode. 9. plate,Trumpet Manucode,Manucodia keraudreni,Manucodia keraudrenii,printed_english=Keraudren's crow-shrike
Supp,10,ku-gould:12763,Pied Monarch. 10. plate,Pied Monarch,,Arses kaupi,printed_alt_name=Kaup's flycatcher
Supp,11,ku-gould:12759,Yellow-breasted Boatbill. 11. plate,Yellow-breasted Boatbill,,Machaerirhynchus flaviventer,printed_alt_name=Yellow-breasted flycather
Supp,12,ku-gould:12755,White-eared Monarch. 12. plate,White-eared Monarch,,Monarcha leucotis,printed_alt_name=White-eared flycatcher
Supp,13,ku-gould:12751,Spectacled Monarch. 13. plate,Spectacled Monarch,Monarcha albiventris,Monarcha trivirgatus,printed_english=White-bellied flycatcher
Supp,14,ku-gould:12747,Fairy Gerygone. 14. plate,Fairy Gerygone,Gerygone personata,Gerygone palpebrosa,printed_english=Masked gerygone
Supp,15,ku-gould:12743,White-browed Robin. 15. plate,White-browed Robin,Petroica cerviniventris,Poecilodryas superciliosa,printed_english=Buff-sided robin
Supp,16,ku-gould:12739,Northern Scrub Robin. 16. plate,Northern Scrub Robin,Eastern scrub-robin,Drymodes superciliaris,
Supp,17,ku-gould:12735,Pale-yellow Robin. 17. plate,Pale-yellow Robin,Eopsaltria capito,Tregellasia capito,printed_english=Large-headed robin
Supp,18,ku-gould:12731,Australian Mangrove Robin. 18. plate,Australian Mangrove Robin,Eopsaltria leucura,Eopsaltria pulverulenta,printed_english=White-tailed robin
Supp,19,ku-gould:12727,Albert's Lyrebird. 19. plate,Albert's Lyrebird,Albert lyre-bird,Menura alberti,
Supp,20,ku-gould:12723,Purple-crowned Fairywren. 20. plate,Purple-crowned Fairywren,Crowned wren,Malurus coronatus,
Supp,21,ku-gould:12719,Lovely Fairywren. 21. plate,Lovely Fairywren,Lovely wren,Malurus amabilis,
Supp,22,ku-gould:12715,Lovely Fairywren. 22. plate,Lovely Fairywren,Malurus hypoleucus,Malurus amabilis,printed_english=Fawn-breasted superb warbler
Supp,23,ku-gould:12711,Splendid Fairywren. 23. plate,Splendid Fairywren,Malurus callainus,Malurus splendens,printed_english=Turquoisine superb warbler
Supp,24,ku-gould:12707,White-winged Fairywren. 24. plate,White-winged Fairywren,Malurus leuconotus,Malurus leucopterus,printed_english=White-backed superb warbler
Supp,25,ku-gould:12703,Eastern Bristlebird. 25. plate,Eastern Bristlebird,Sphenura broadbenti,Dasyornis brachypterus,printed_english=Rufous-headed bristle-bird
Supp,26,ku-gould:12699,Rufous Scrubbird. 26. plate,Rufous Scrubbird,Atrichia rufescens,Atrichornis rufescens,printed_english=Rufescent scrub-bird
Supp,27,ku-gould:12695,Pilotbird. 27. plate,Pilotbird,Downy pycnoptilus,Pycnoptilus floccosus,
Supp,28,ku-gould:12691,Scrubtit. 28. plate,Scrubtit,Acanthiza magna,Acanthornis magnus,printed_english=Great acanthiza
Supp,29,ku-gould:12687,Red-bellied Pitta. 29. plate,Red-bellied Pitta,Pitta mackloti,Pitta erythrogaster macklotii,printed_english=Macklot's pitta
Supp,30,ku-gould:12683,Island Thrush. 30. plate,Island Thrush,Merula poliocephala,Turdus poliocephalus,printed_english=Grey-headed blackbird
Supp,31,ku-gould:12679,Island Thrush. 31. plate,Island Thrush,Merula vinitincta,Turdus poliocephalus,printed_english=Vinous-tinted blackbird
Supp,32,ku-gould:12675,Chestnut-breasted Quail-thrush. 32. plate,Chestnut-breasted Quail-thrush,,Cinclosoma castaneothorax,printed_alt_name=Chestnut-breasted ground-thrush
Supp,33,ku-gould:12671,Metallic Starling. 33. plate,Metallic Starling,Shining aplonis,Aplonis metallica,
Supp,34,ku-gould:12667,Satin x Regent Bowerbird. 34. plate,Satin x Regent Bowerbird,Ptilonorhynchus rawnsleyi,(hybrid) Ptilonorhynchus violaceus x Sericulus chrysocephalus,printed_english=Rawnsley's bower-bird
Supp,35,ku-gould:12663,Western Bowerbird. 35. plate,Western Bowerbird,Guttated bower-bird,Chlamydera guttata,
Supp,36,ku-gould:12659,Fawn-breasted Bowerbird. 36. plate,Fawn-breasted Bowerbird,,Chlamydera cerviniventris,printed_alt_name=Fawn-breasted bower-bird
Supp,37,ku-gould:12655,Sunda Cuckooshrike. 37. plate,Sunda Cuckooshrike,Sphecotheres flaviventris,Coracina larvata,printed_english=Yellow-bellied sphecotheres
Supp,38,ku-gould:12651,Chestnut-crowned Babbler. 38. plate,Chestnut-crowned Babbler,Pomatorhinus ruficeps,Pomatostomus ruficeps,printed_english=Chestnut-crowned pomatorhinus
Supp,39,ku-gould:12647,Yellow-tufted Honeyeater. 39. plate,Yellow-tufted Honeyeater,Ptilotis cassidix,Lichenostomus melanopscassidix,printed_english=Helmeted honey-eater
Supp,40,ku-gould:12643,Mangrove Honeyeater. 40. plate,Mangrove Honeyeater,Ptilotis fasciogularis,Lichenostomus fasciogularis,printed_english=Fasciated honey-eater
Supp,41,ku-gould:12639,Yellow-spotted Honeyeater. 41. plate,Yellow-spotted Honeyeater,Ptilotis notata,Meliphaga notata,printed_english=Yellow-spotted honey-eater
Supp,42,ku-gould:12635,Tawny-breasted Honeyeater. 42. plate,Tawny-breasted Honeyeater,Ptilotis filigera,Xanthotis flaviventer,printed_english=Streaked honey-eater
Supp,43,ku-gould:12631,White-streaked Honeyeater. 43. plate,White-streaked Honeyeater,Ptilotis cockerelli,Trichodere cockerelli,printed_english=Cockerell's honey-eater
Supp,44,ku-gould:12627,Helmeted Friarbird. 44. plate,Helmeted Friarbird,Tropidorhynchus buceroides,Philemon buceroides,printed_english=Helmeted honey-eater
Supp,45,ku-gould:12623,Olive-backed Sunbird. 45. plate,Olive-backed Sunbird,Nectarinia australis,Nectarinia jugularis,printed_english=Australian sun-bird
Supp,46,ku-gould:12619,"Norfolk Island White-eye, White-chested White-eye. 46. plate","Norfolk Island White-eye, White-chested White-eye",,Zosterops albogularis,printed_alt_name=White-breasted zosterops
Supp,47,ku-gould:12615,Slender-billed White-eye. 47. plate,Slender-billed White-eye,,Zosterops tenuirostris,printed_alt_name=Slender-billed zosterops
Supp,48,ku-gould:12611,Robust White-eye. 48. plate,Robust White-eye,Robust zosterops,Zosterops strenuus,
Supp,49,ku-gould:12607,Zosterops tephropleurus. 49. plate,Zosterops tephropleurus,,Zosterops tephropleurus,description_no_english_segment; printed_alt_name=Grey-breasted zosterops
Supp,50,ku-gould:12603,Victoria's Riflebird. 50. plate,Victoria's Riflebird,Victoria rifle-bird,Ptiloris victoriae,
Supp,51,ku-gould:12599,Magnificent Riflebird. 51. plate,Magnificent Riflebird,Ptiloris magnifica,Ptiloris magnificus,printed_english=Magnificent rifle-bird
Supp,52,ku-gould:12595,Standardwing. 52. plate,Standardwing,Semioptera wallacei,Semioptera wallacii,printed_english=Standard-wing
Supp,53,ku-gould:12591,Chowchilla. 53. plate,Chowchilla,Orthonyx spaldingi,Orthonyx spaldingii,printed_english=Spalding's orthonyx
Supp,54,ku-gould:12587,Varied Sittella. 54. plate,Varied Sittella,Sittella striata,Daphoenositta chrysoptera,printed_english=Striated sittella
Supp,55,ku-gould:12583,Chestnut-breasted Cuckoo. 55. plate,Chestnut-breasted Cuckoo,,Cacomantis castaneiventris,
Supp,56,ku-gould:12579,Little Bronze Cuckoo. 56. plate,Little Bronze Cuckoo,Little cuckoo,Chrysococcyx minutillus,
Supp,57,ku-gould:12575,Kakapo. 57. plate,Kakapo,Strigops habroptilus,Strigops habroptila,
Supp,58,ku-gould:12569,New Zealand Kaka. 58. plate,New Zealand Kaka,Nestor hypopolius,Nestor meridionalis,printed_english=Ka-ka parrot
Supp,59,ku-gould:12565,New Zealand Kaka. 59. plate,New Zealand Kaka,Nestor esslingii,Nestor meridionalis,printed_english=Prince of essling's parrot
Supp,60,ku-gould:12561,Kea. 60. plate,Kea,Kea parrot,Nestor notabilis,
Supp,61,ku-gould:12557,Palm Cockatoo. 61. plate,Palm Cockatoo,Microglossus aterrimus,Probosciger aterrimus,printed_english=Great palm-cockatoo
Supp,62,ku-gould:12553,Princess Parrot. 62. plate,Princess Parrot,,Polytelis alexandrae,printed_alt_name=The princess of wales's parrakeet
Supp,63,ku-gould:12549,Crimson Rosella. 63. plate,Crimson Rosella,Platycercus cyanogenys,Platycercus elegans,printed_english=Blue-cheeked parrakeet
Supp,64,ku-gould:12545,"Golden-shouldered Parakeet, Golden-shouldered Parrot. 64. plate","Golden-shouldered Parakeet, Golden-shouldered Parrot",,Psephotus chrysopterygius,printed_alt_name=Golden-backed parrakeet
Supp,65,ku-gould:12541,Double-eyed Fig Parrot. 65. plate,Double-eyed Fig Parrot,Cyclopsitta coxeni,Cyclopsitta diophthalma,printed_english=Coxen's parrakeet
Supp,66,ku-gould:12537,Night Parrot. 66. plate,Night Parrot,Geopsittacus occidentalis,Pezoporus occidentalis,printed_english=Nocturnal ground-parrakeet
Supp,67,ku-gould:12533,Wompoo Fruit Dove. 67. plate,Wompoo Fruit Dove,Carpophaga assimilis,Ptilinopus magnificus,printed_english=Allied fruit-pigeon
Supp,68,ku-gould:12529,Spinifex Pigeon. 68. plate,Spinifex Pigeon,Lophophaps ferruginea,Geophaps plumifera ferruginea,printed_english=Rust-coloured bronzewing
Supp,69,ku-gould:12525,Spinifex Pigeon. 69. plate,Spinifex Pigeon,Lophophaps leucogaster,Geophaps plumifera leucogaster,printed_english=White-bellied bronzewing
Supp,70,ku-gould:12521,Southern Cassowary. 70. plate,Southern Cassowary,Casuarius australis,Casuarius casuarius,printed_english=Australian cassowary
Supp,71,ku-gould:12518,Southern Cassowary. 71. plate,Southern Cassowary,Casuarius australis,Casuarius casuarius,printed_english=Australian cassowary
Supp,72,ku-gould:12515,Dwarf Cassowary. 72. plate,Dwarf Cassowary,,Casuarius bennetti,printed_alt_name=Bennett's cassowary
Supp,73,ku-gould:12512,Dwarf Cassowary. 73. plate,Dwarf Cassowary,,Casuarius bennetti,printed_alt_name=Bennett's cassowary
Supp,74,ku-gould:12509,Northern Cassowary. 74. plate,Northern Cassowary,Casuarius uniappendiculatus,Casuarius unappendiculatus,printed_english=One-carunculated cassowary
Supp,75,ku-gould:12506,Northern Cassowary. 75. plate,Northern Cassowary,Casuarius uniappendiculatus,Casuarius unappendiculatus,printed_english=One-carunculated cassowary
Supp,76,ku-gould:12502,Takahe. 76. plate,Takahe,Notornix mantelli,Porphyrio mantelli,printed_english=Notornis; duplicate_leaf_in_ku_catalogue (two scanned leaves cataloged under the same plate number)
Supp,76,ku-gould:12503,Takahe. 76. plate,Takahe,Notornix mantelli,Porphyrio mantelli,printed_english=Notornis; duplicate_leaf_in_ku_catalogue (two scanned leaves cataloged under the same plate number)
Supp,77,ku-gould:12497,"Upland Sandpiper, Maubèche des champs, Zarapito ganga. 77. plate","Upland Sandpiper, Maubèche des champs, Zarapito ganga",Actiturus bartramius,Bartramia longicauda,printed_english=Bartram's sandpiper
Supp,78,ku-gould:12493,Red-necked Crake. 78. plate,Red-necked Crake,,Rallina tricolor,printed_alt_name=Red-necked rail
Supp,79,ku-gould:12489,Plain Bush-hen. 79. plate,Plain Bush-hen,Gallinula ruficrissa,Amaurornis olivacea,printed_english=Rufous-vented gallinule
Supp,80,ku-gould:12485,Australasian Shoveler. 80. plate,Australasian Shoveler,Spatula variegata,Anas rhynchotis,printed_english=Variegated shoveller
Supp,81,ku-gould:12481,"Gull-billed Tern, Charrán pico grueso,Sterne hansel. 81. plate","Gull-billed Tern, Charrán pico grueso,Sterne hansel",Gelochelidon macrotarsa,Gelochelidon nilotica,printed_english=Great-footed tern
