volume,plate,ia_id,leaf,caption_ocr,caption_latin,agrees,orientation,caption_top,fold_out,note
II,26,birdsAustraliav2Goul,112,LCYONE PUSILILA J (roald anit HUhiier ded eb feta. CLiallmande Lig.,Alcyone pusilla,yes,portrait,0.879,,"Vision OCR: ALCYONE PUSILLA,"
II,27,birdsAustraliav2Goul,116,Wa coy is) h es La iy Heh Lith,Artamus sordidus,yes,portrait,0.924,,Vision OCR: ARTAMUS SORDIDIS
II,28,birdsAustraliav2Goul,120,ARTAMUS MINOR: Hat Sand and 20 Ruchter dete EET,Artamus minor,yes,portrait,0.938,,Vision OCR: ARTAMUS MINOR: Viel.
II,29,birdsAustraliav2Goul,124,ARTAMUS CINEREUS: eli J Contd and LC Richter deb? Ciiulnanded Page,Artamus cinereus,yes,portrait,0.884,,Vision OCR: ARTAMUS CINEREUS: Vall
II,30,birdsAustraliav2Goul,128,US ALBIVENTIRIS: Gord. fl J Could ond HO Richt Ah atthe. F Tidlnundel & Walter Lap.,Artamus albiventris,yes,portrait,0.876,,Vision OCR: ARTAMUS ALBIVENTRIS: Could.
II,31,birdsAustraliav2Goul,132,Cindimamadel Ling Gould ° ° ARTAMUS PERS ONATUS & Zi S Cauda dé HC Peiehiter,Artamus personatus,yes,portrait,0.914,,Vision OCR: ARTAMUS PERSONATUS: Gould
II,32,birdsAustraliav2Goul,136,"Pity, L badd and HC Richter deb? AIRTAMUU'S SUPE! RCILIOSUS: Gould. 6 Lntinanded Lr",Artamus superciliosus,yes,portrait,0.919,,Vision OCR: ARTAMUS SUPERCILIOSUS: Gould
II,33,birdsAustraliav2Goul,140,“ald. > 60 Is [AL PY (Gi o) (ox Dates LI zi MIS UREA. 4a VARY RE,Artamus leucopygialis,yes,portrait,0.886,,Vision OCR: ARTAMUS LEUTOPYGIALIS: Geald
II,34,birdsAustraliav2Goul,144,"arson, DICZAUM HIRUNDINACKE UM. S&L Could deb ob tth:",Dicaeum hirundinaceum,yes,portrait,0.952,,Vision OCR: DICÆUM HIRUNDINACEUM.
II,35,birdsAustraliav2Goul,148,"ADALOTUS PUNCTAT A Could and HCHihior dk cb lithe. uy : x C fialinandl Lrif.,",Pardalotus punctatus,yes,portrait,0.943,,Vision OCR: PARDALOTUS PUNCTATUS:Vell
II,36,birdsAustraliav2Goul,152,"AMsantd aad A Kithterdl A tah, : - Finlineandel & Wallen FIG). i —",Pardalotus rubricatus,yes,portrait,0.920,,read from image
II,37,birdsAustraliav2Goul,156,‘ < : \ i A i f | PARDALOTUS QUADRAGINTUS: Gould. J. Gold and HO Lichter det & hth. i CHetlmandd lng. a 3,Pardalotus quadragintus,yes,portrait,0.873,,Vision OCR: PARDALOTUS QUADRAGINTUS: Gould
II,38,birdsAustraliav2Goul,160,": — PARDALOTUS STRIATUS: hy & Airy SA bould and LO Hichter Ac & tithe, CMallncmatel by.",Pardalotus striatus,yes,portrait,0.915,,Vision OCR: PARDALOTUS STRIATUS: Vig& Hers:
II,39,birdsAustraliav2Goul,164,PARDALOTUS APREINIS: Gec7Z SkL Could.ael. Follnanber (np.,Pardalotus affinis,yes,portrait,0.915,,Vision OCR: PARDALOTUS AFFINIS: Guld
II,40,birdsAustraliav2Goul,168,PAIRI DALOTUS MELANOCEPHALUS: Gould A bowl and HURichtaw Ad & ti. Hilanandd & Watton jy,Pardalotus melanocephalus,yes,portrait,0.880,,Vision OCR: PARDALOTUS MELAVOCEPHALUS: Gould.
II,41,birdsAustraliav2Goul,172,PARDALOTUS UROPYGIALIS: Gould . TRE Codd belt CHallmandel lng,Pardalotus uropygialis,yes,portrait,0.883,,Vision OCR: PARDALOTUS UROPYGIALIS: Gould®
II,42,birdsAustraliav2Goul,176,"Va HOAMAEL lel et lithe, id H.C Hichter ¢ g LA le 1 /, VUE: hf",Strepera graculina,yes,portrait,0.951,,Vision OCR: STREPERA GRACULIVA: Lgs
II,43,birdsAustraliav2Goul,180,Sood and HURichter dad atith. TREPE niamemeree i th RANE So Biren) OSA: Goul Hallawandd & Wall,Strepera fuliginosa,yes,portrait,0.921,,Vision OCR: STREPERA FULIGINOSA:Gould.
II,44,birdsAustraliav2Goul,184,ould: 3G A. 17 } = K Hullinandd & Walton ny. wid and WC. Richter dd et tith.,Strepera arguta,yes,portrait,0.923,,Vision OCR: STREPERA ARGUTA: Could®
II,45,birdsAustraliav2Goul,188,Hulbcande & Walton Lap JS Gould and Richt del ctv tith,Strepera Anaphonensis,yes,portrait,0.955,,Vision OCR: STREPERA AVAPHO EOSIS.
II,46,birdsAustraliav2Goul,192,"oh tilde, dell S . Ss aS S",Gymnorhina Tibicen,yes,portrait,0.914,,Vision OCR: GYMNOREINA TIBICKN: G.R.Gray.
II,47,birdsAustraliav2Goul,196,y A : Gould. dead && hah. ie ae ee or ae : ae C. Hullnandd lip. J Gould and HO Rich,Gymnorhina leuconota,yes,portrait,0.948,,Vision OCR: CYMNORHINA LEUCONOTA: Gould.
II,48,birdsAustraliav2Goul,200,"DIRHINA ORGANICUMS Gould. J Goi toad HU Riki Ad ch lithe. . Gollnanda & Wilton Arup,",Gymnorhina organicum,yes,portrait,0.906,,Vision OCR: CYMNORHINA ORGANICUM: Gould
II,49,birdsAustraliav2Goul,204,"CRACTICUS NIGROGULARIDS : Gould. J Gould and HC Richter da eb Gil, Stednandd & Weltory trp: 2,",Cracticus nigrogularis,yes,portrait,0.902,,Vision OCR: CRACTICUS NIGROGULARIS: Gould.
II,50,birdsAustraliav2Goul,208,"PICATU 7 Gould and HC Kichter dd ath, Katinnadel & Wallon Lp.",Cracticus picatus,yes,portrait,0.951,,Vision OCR: CRACTICUS PITATUS:Gould;
II,51,birdsAustraliav2Goul,212,S Gould and H- CRichtey del. ct lth. Finllinandel & Wal,Cracticus argenteus,yes,portrait,0.919,,"Vision OCR: CRACTICTS ARGENTEUS, Could"
II,52,birdsAustraliav2Goul,216,"CRACTICUS DESTIR J Gould and MC Richter del ev bith, ; Hulluande, & Watton: tags.",Cracticus destructor,yes,portrait,0.912,,Vision OCR: CRACTICUS DESTRUCTOR.
II,53,birdsAustraliav2Goul,220,Stout and NC Kichtor deb eb th. CRA! \\_A 7] 1 MCcUS QUOYTI. Hollin ane & Wodton begr,Cracticus Quoyii,yes,portrait,0.910,,Vision OCR: CRACTICUS QUOYIL.
II,54,birdsAustraliav2Goul,224,"NA AUSTRALIS... C Hal@nanded lage, 4 J Gould ant HC Kicliter",Grallina Australis,yes,portrait,0.951,,"Vision OCR: GRALLIVA ATSTRALIS,"
II,55,birdsAustraliav2Goul,228,MELANOPS Follnondd & Walter Tinp. tehter dvb cb Wt,Graucalus melanops,yes,portrait,0.914,,Vision OCR: GRATCALTS MELANOPS.
II,56,birdsAustraliav2Goul,232,Hullrasbel & Nid 1 hifitir AL @ 1h vind The auld LZ,Graucalus mentalis,yes,portrait,0.928,,Vision OCR: FRAUCALUS MENTALIS& Vg&Hors/ .
II,57,birdsAustraliav2Goul,236,2 Ollie UCALUS HYI > Gould,Graucalus hypoleucus,yes,portrait,0.941,,Vision OCR: GRATCALUS HYPOLEUCUS: Goald
II,58,birdsAustraliav2Goul,240,"SONI: Geudd, I couldand MC luckier dh ev tith, : Hallmandd Walton Lays,",Graucalus Swainsonii,yes,portrait,0.871,,Vision OCR: GRAUCALUS SWALNSONH: Gould.
