volume,plate,ku_id,ku_english,ku_sci,printed
I,1,ku-gould:17730,Red-headed Vulture,Sarcogyps calvus,Otogyps calvus -- Black vulture
I,2,ku-gould:17726,White-rumped Vulture,Gyps bengalensis,Bengal vulture
I,3,ku-gould:17722,"Peregrine Falcon ,faucon pélerin, Halcón peregrino,",Falco peregrinus,Falco peregrinator -- Shaheen falcon
I,4,ku-gould:17718,Barbary Falcon,Falco pelegrinoides,Falco babylonicus -- Red-naped falcon
I,5,ku-gould:17714,Saker Falcon,Falco cherrug,Falco sacer
I,6,ku-gould:17710,Lanner Falcon,Falco biarmicus,Falco lanarius
I,7,ku-gould:17706,Laggar Falcon,Falco jugger,Jugger falcon
I,8,ku-gould:17702,Amur Falcon,Falco amurensis,Erythropus amurensis -- White-winged red-footed kestrel
I,9,ku-gould:17698,Sulawesi Serpent Eagle,Spilornis rufipectus,Rufous-breasted spilornis
I,10,ku-gould:17694,Blyth's Hawk-Eagle,Spizaetus alboniger,Black-and-white crested eagle
I,11,ku-gould:17690,Black Kite,Milvus migrans,Milvus govinda -- Govinda kite
I,12,ku-gould:17686,"Black-shouldered Kite, Black-winged Kite",Elanus caeruleus,Elanus hypoleucus -- Celebean elanus
I,13,ku-gould:17682,"Oriental Scops Owl, Oriental Scops-Owl",Otus sunia,Scops pennatus -- Indian scops owl
I,14,ku-gould:17678,Oriental Bay Owl,Phodilus badius,Bay owl
I,15,ku-gould:17674,Collared Owlet,Glaucidium brodiei,Athene brodiei -- Brodie's owlet
I,16,ku-gould:17670,Mottled Wood Owl,Strix ocellata,Syrnium ocellatum -- Speckled wood-owl
I,17,ku-gould:17666,Spotted Owlet,Athene brama indica,Strix indica -- Indian screech owl
I,18,ku-gould:17662,Grass Owl,Tyto capensis,Strix candida -- Grass-owl
I,19,ku-gould:17658,Sykes's Nightjar,Caprimulgus mahrattensis,Mahratta nightjar
I,20,ku-gould:17654,African Palm Swift,Cypsiurus parvus,Cypselus infumatus -- Palm roof-swift
I,21,ku-gould:17650,Crested Treeswift,Hemiprocne coronata,Dendrochelidon coronatus -- Crested tree-swift
I,22,ku-gould:17646,Grey-rumped Treeswift,Hemiprocne longipennis,Dendrochelidon klecho -- Klecho tree-swfit
I,23,ku-gould:17642,Grey-rumped Treeswift,Hemiprocne longipennis wallacii,Dendrochelidon wallacei -- Wallace's tree-swift
I,24,ku-gould:17638,Moustached Treeswift,Hemiprocne mystacea,Dendrochelidon mystaceus -- Bearded tree-swift
I,25,ku-gould:17634,Whiskered Treeswift,Hemiprocne comata,Dendrochelidon comatus -- Hooded tree-swift
I,26,ku-gould:17630,Wire-tailed Swallow,Hirundo smithii,Hirundo flifera
I,27,ku-gould:17626,European Striated Swallow,Hirundo (Cecropis) daurica rufula,Cecropis rufula -- Western mosque-swallow
I,28,ku-gould:17622,European Striated Swallow,Hirundo (Cecropis) daurica,Cecropis daurica -- Daurian mosque-swallow
I,29,ku-gould:17618,Indian Striated Swallow,Hirundo (Cecropis) daurica erythropygia,Cecropis erythropygia -- Indian mosque-swallow
I,30,ku-gould:17614,Sri Lanka Swallow,Hirundo (Cecropis) hyperythra,Cecropis hyperythra -- Ceylonese mosque-swallow
I,31,ku-gould:17610,"Nepal House Martin, Nepal Martin",Delichon nipalense,Delichon nipalensis -- Nepal martin-swallow
I,32,ku-gould:17606,Hill Swallow,Hirundo domicola,Hypurolepis domicola -- Bungalow swallow
I,33,ku-gould:17602,"Streak-throated Swallow, Indian Cliff Swallow",Hirundo fluvicola,Lagenoplastes fluvicola -- Indian cliff-swallow
I,34,ku-gould:17598,Chestnut-headed Bee-eater,Merops leschenaulti quinticolor,Merops quinticolor -- Pirik bee-eater
I,35,ku-gould:17594,Blue-throated Bee-eater,Merops viridis,Hurrial bee-eater
I,36,ku-gould:17590,Blue-tailed Bee-eater,Merops philippinus,Philippine bee-eater
I,37,ku-gould:17586,Blue-bearded Bee-eater,Nyctyornis athertoni,Nyctiornis athertoni -- Blue-throated nyctiornis
I,38,ku-gould:17582,Blue-bearded Bee-eater,Nyctyornis athertoni,Nyctiornis amictus -- Red-throated nyctiornis
I,39,ku-gould:17578,Purple-bearded Bee-eater,Meropogon forsteni,Forsten's bee-eater
I,40,ku-gould:17574,Hombron's Kingfisher,Actenoides hombroni,
I,41,ku-gould:17570,Spotted Wood Kingfisher,Actenoides lindsayi,Lindsay's kingfisher
I,42,ku-gould:17566,Rufous-collared Kingfisher,Actenoides concretus,Sumatra kingfisher
I,43,ku-gould:17562,White-throated Kingfisher,Halcyon smyrnensis fusca,Halcyon fusca -- Indian kingfisher
I,44,ku-gould:17558,White-throated Kingfisher,Halcyon smyrnensis gularis,Halcyon gularis -- Manilla kingfisher
I,45,ku-gould:17554,Black-capped Kingfisher,Halcyon pileata,Halcyon atricapillus
I,46,ku-gould:17550,Glittering Kingfisher,Caridonax fulgidus,Halcyon fulgidus -- Blue-and-white kingfisher
I,47,ku-gould:17546,Javan Kingfisher,Halcyon cyanoventris,Halcyon omnicolor -- Many-coloured kingfisher
I,48,ku-gould:17542,Banded Kingfisher,Lacedo pulchella,Carcineutes pulchellus
I,49,ku-gould:17538,Banded Kingfisher,Lacedo pulchella melanops,Carcineutes melanops -- Black-faced kingfisher
I,50,ku-gould:17534,Banded Kingfisher,Lacedo pulchella,Carcineutes amabilis -- Tenasserim kingfisher
I,51,ku-gould:17530,Spangled Kookaburra,Dacelo tyro,Dacelo tyro -- Mantled kingfisher
I,52,ku-gould:17526,Blyth's Kingfisher,Alcedo hercules,Alcedo grandis -- Great alcedo
I,53,ku-gould:17522,Common Kingfisher,Alcedo atthis,Alcedo bengalensis -- Indian kingfisher
I,54,ku-gould:17518,Indian Roller,Coracias benghalensis,Coracias indica
I,55,ku-gould:17514,Indian Roller,Coracias benghalensis affinis,Coracias affinis -- Burmese roller
I,56,ku-gould:17510,"Purple-winged Roller, Sulawesi Roller",Coracias temminckii,Coracias temmincki -- Temminck's roller
I,57,ku-gould:17506,Banded Broadbill,Eurylaimus javanicus,Javan eurylaime
I,58,ku-gould:17502,Black-and-yellow Broadbill,Eurylaimus ochromalus,Eurylaimus ochromelas -- Hooded eurylaime
I,59,ku-gould:17498,Black-and-red Broadbill,Cymbirhynchus macrorhynchos,Cymbirhynchus macrorhynchus -- Great-billed eurylaime
I,60,ku-gould:17494,Black-and-red Broadbill,Cymbirhynchus macrorhynchos affinis,Cymbirhynchus affinis -- Allied eurylaime
I,61,ku-gould:17490,Dusky Broadbill,Corydon sumatranus,Great eurylaime
I,62,ku-gould:17486,Silver-breasted Broadbill,Serilophus lunatus,Lunated eurylaime
I,63,ku-gould:17482,Silver-breasted Broadbill,Serilophus lunatus rubropygius,Serilophus rubropygius -- Red-backed eurylaime
I,64,ku-gould:17478,Long-tailed Broadbill,Psarisomus dalhousiae,Dalhousie's eurylaime
I,65,ku-gould:17474,Steere's Broadbill,Sarcophanops steerii,
I,66,ku-gould:17470,"Common Hoopoe, Eurasian Hoopoe, Hoopoe",Upupa epops,Upupa nigripennis -- Indian hoopoe
I,67,ku-gould:17466,Masked Trogon,Trogon personatus,Harpactes duvauceli -- Duvaucel's trogon
I,68,ku-gould:17462,"Collared Trogon, Trogón de collar",Trogon collaris puella,Harpactes rutilus -- Malacca trogon
I,69,ku-gould:17458,"Violaceous Trogon, Trogón violáceo",Trogon violaceus ramonianus,Harpactes hodgsoni -- Hodgson's trogon
I,70,ku-gould:17454,"Black-headed Trogon, Trogón cabeza negra",Trogon melanocephalus,Harpactes diardi -- Diard's trogon
I,71,ku-gould:17450,"Amazonian White-tailed Trogon, White-tailed Trogon",Trogon viridis,Harpactes oreskios -- Mountain trogon
I,72,ku-gould:17446,Black-throated Trogon,Trogon rufus tenellus,Harpactes reinwardti -- Reinwardt's trogon
I,73,ku-gould:17442,Blue-crowned Trogon,Trogon curucui,Harpactes mackloti -- Macklot's trogon
I,74,ku-gould:17438,Black-tailed Trogon,Trogon melanurus,Harpactes kasumba -- Kasumba trogon
I,75,ku-gould:17434,"Violaceous Trogon, Trogón violáceo",Trogon violaceus,Harpactes fasciatus -- Fasciated trogon
I,76,ku-gould:17430,"Mountain Trogon, Trogón mexicano",Trogon mexicanus,Harpactes ardens -- Rosy-breasted trogon
II,1,ku-gould:17380,Green Cochoa,Cochoa viridis,
II,2,ku-gould:17376,Purple Cochoa,Cochoa purpurea,
II,3,ku-gould:17372,Grey-chinned Minivet,Pericrocotus solaris,Pericrocotus griseogularis -- Grey-throated pericrocotus
II,4,ku-gould:17368,Swinhoe's Minivet,Pericrocotus cantonensis,Canton pericrocotus
II,5,ku-gould:17364,Grey-chinned Minivet,Pericrocotus solaris,Yellow-throated pericrocotus
II,6,ku-gould:17360,White-bellied Minivet,Pericrocotus erythropygius,Cawnpore pericrocotus
II,7,ku-gould:17356,Scarlet Minivet,Pericrocotus flammeus,Pericrocotus speciosus -- Great pericrocotus
II,8,ku-gould:17352,Scarlet Minivet,Pericrocotus flammeus,Orange pericrocotus
II,9,ku-gould:17348,Small Minivet,Pericrocotus cinnamomeus,Pericrocotus peregrinus -- Little pericrocotus
II,10,ku-gould:17344,Rosy Minivet,Pericrocotus roseus,Rosy pericrocotus
II,11,ku-gould:17340,Ashy Minivet,Pericrocotus divaricatus,Pericrocotus cinereus -- Grey pericrocotus
II,12,ku-gould:17336,Yellow-bellied Whistler,Pachycephala philippinensis,Hylopterpe philippinensis -- Philippine-island thickhead
II,13,ku-gould:17332,White-browed Shrike-Babbler,Pteruthius flaviscapis,Pteruthius aeralatus -- Grey-headed pteruthius
II,14,ku-gould:17328,White-browed Shrike-Babbler,Pteruthius flaviscapis,Pteruthius erythropterus -- Himalayan pteruthius
II,15,ku-gould:17324,Black-headed Shrike-Babbler,Pteruthius rufiventer,Rufous-bellied pteruthius
II,16,ku-gould:17320,Black-eared Shrike-Babbler,Pteruthius melanotis,Allotrius melanotis -- Black-eared allotrius
II,17,ku-gould:17316,Green Shrike-Babbler,Pteruthius xanthochlorus,Allotrius xanthochloris -- Yellow-green allotrius
II,18,ku-gould:17312,Asian Paradise Flycatcher,Terpsiphone paradisi,Muscipeta paradisi -- Paradise flycatcher
II,19,ku-gould:17308,Asian Paradise Flycatcher,Terpsiphone paradisi,Muscipeta incei -- Ince's paradise flycatcher
II,20,ku-gould:17304,Large Niltava,Niltava grandis,Grand niltava
II,21,ku-gould:17300,Rufous-bellied Niltava,Niltava sundara,Niltava sundara -- Sundara niltava
II,22,ku-gould:17296,Small Niltava,Niltava macgrigoriae,Niltava macgregoriae -- Macgregor's niltava
II,23,ku-gould:17292,Nectarinia osea,Nectarinia osea,Jericho sun-bird
II,24,ku-gould:17288,Nectarinia zeylonica,Nectarinia zeylonica,Nectarinia zelonica -- Ceylonese sun-bird
II,25,ku-gould:17284,Nectarinia calcostetha,Nectarinia calcostetha,Nectarinia insignis -- Penang sun-bird
II,26,ku-gould:17280,Mrs. Gould's Sunbird,Aethopyga gouldiae,Nectarinia gouldiae -- Mrs. gould's sun-bird
II,27,ku-gould:17276,Black-throated Sunbird,Aethopyga saturata,Nectarinia saturata -- Black-breasted sun-bird
II,28,ku-gould:17272,Fire-tailed Sunbird,Aethopyga ignicauda,Nectarinia ignicauda -- Fiery-tailed sun-bird
II,29,ku-gould:17268,Crimson Sunbird,Aethopyga siparaja,Nectarinia goalpariensis -- Goulpourah sun-bird
II,30,ku-gould:17264,Crimson Sunbird,Aethopyga siparaja,Nectarinia vigorsii -- Vigor's sun-bird
II,31,ku-gould:17260,Green-tailed Sunbird,Aethopyga nipalensis,Nectarinia nipalensis -- Nepaulese sun-bird
II,32,ku-gould:17256,Nectarinia asiatica,Nectarinia asiatica,Asiatic sun-bird
II,33,ku-gould:17252,Nectarinia lotenia,Nectarinia lotenia,Loten's sun-bird
II,34,ku-gould:17248,Japanese White-eye,Zosterops japonicus  simplex,Zosterops simplex -- Plain zosterops
II,35,ku-gould:17244,Chestnut-flanked White-eye,Zosterops erythropleurus,Zosterops erythropleura -- Chestnut-sided zosterops
II,36,ku-gould:17240,Scarlet-collared Flowerpecker,Dicaeum retrocinctum,Red-collared dicaeum
II,37,ku-gould:17236,Orange-bellied Flowerpecker,Dicaeum trigonostigma,Dicaeum dorsale -- Yellow-throated dicaeum
II,38,ku-gould:17232,Scarlet-backed Flowerpecker,Dicaeum cruentatum,Red-backed dicaeum
II,39,ku-gould:17228,Scarlet-backed Flowerpecker,Dicaeum cruentatum,Dicaeum pryeri -- Pryer's dicaeum
II,40,ku-gould:17224,Fire-breasted Flowerpecker,Dicaeum ignipectus,Myzanthe ignipectus -- Fire-breasted myzanthe
II,41,ku-gould:17220,Legge's Flowerpecke,Dicaeum vincens,Prionochilus vincens -- Legge's flower-pecker
II,42,ku-gould:17216,Chestnut-vented Nuthatch,Sitta nagaensis,Naga nuthatch
II,43,ku-gould:17212,Beautiful Nuthatch,Sitta Formosa,
II,44,ku-gould:17208,Chestnut-bellied Nuthatch,Sitta castanea,Sitta cinnamoneoventris -- Cinnamon-bellied nuthatch
II,45,ku-gould:17204,Chestnut-bellied Nuthatch,Sitta castanea,Sitta castaneoventris
II,46,ku-gould:17200,White-cheeked Nuthatch,Sitta leucopsis,White-faced nuthatch
II,47,ku-gould:17196,White-tailed Nuthatch,Sitta himalayensis,Himalayan nuthatch
II,48,ku-gould:17192,Yellow-bellied Tit,Periparus venustulus,Parus venustulus -- White-naped tit
II,49,ku-gould:17188,Chestnut-bellied Nuthatch,Sitta castanea,Parus castaneoventris -- Chestnut-bellied tit
II,50,ku-gould:17184,Elegant Tit,Periparus elegans,Parus elegans
II,51,ku-gould:17180,Sultan Tit,Melanochlora sultanea,
II,52,ku-gould:17176,Black-lored Tit,Parus xanthogenys,Parus xanthogenys -- Yellow-cheeked tit
II,53,ku-gould:17172,Yellow-cheeked Tit,Parus spilonotus,Spotted tit
II,54,ku-gould:17168,Black-lored Tit,Parus xanthogenys,Parus jerdoni -- Jerdon's tit
II,55,ku-gould:17164,Great Tit,Parus major,Parus cinereus -- Ash-coloured tit
II,56,ku-gould:17160,Great Tit,Parus major,Parus minor -- Chinese tit
II,57,ku-gould:17156,Green-backed Tit,Parus monticolus,Mountain-tit
II,58,ku-gould:17152,Grey Crested Tit,Lophophanes s dichrou,Parus dichrous -- Grey tit
II,59,ku-gould:17148,Rufous-vented Tit,Periparus rubidiventris,Parus rubidiventris -- Rufous-bellied tit
II,60,ku-gould:17144,Rufous-naped Tit,Periparus rufonuchalis,Parus rufonuchalis
II,61,ku-gould:17140,Spot-winged Ti,Periparus melanolophus,Parus melanolophus -- Black-crested tit
II,62,ku-gould:17136,White-browed Tit-warbler,Leptopoecile sophiae,Yarkand tit
II,63,ku-gould:17132,Pygmy Bushtit,Psaltria exilis,Exile tit
II,64,ku-gould:17128,Black-throated Bushtit,Aegithalos concinnus,Psaltria erythrocephala -- Red-headed tit
II,65,ku-gould:17124,Black-throated Bushtit,Aegithalos concinnus,Psaltria concinna -- Elegant tit
II,66,ku-gould:17120,White-cheeked Bushtit,Aegithalos leucogenys,Psaltria leucogenys -- Afghan tit
II,67,ku-gould:17116,White-throated Bushtit,Aegithalos niveogularis,Acanthiparus niveogularis -- White-throated tit
II,68,ku-gould:17112,Rufous-fronted Bushtit,Aegithalos iouschistos,Acanthiparus jouschistos -- Chestnut-breasted tit
II,69,ku-gould:17108,Long-tailed Bushtit,Aegithalos caudatus,Mecistura glaucogularis -- Silvery-throated tit
II,70,ku-gould:17104,Chinese Penduline Tit,Remiz consobrinus,Aegithalus consobrinus
II,71,ku-gould:17100,Fire-capped Tit,Cephalopyrus flammiceps,Aegithalus flammiceps -- Flame-fronted flower-pecker
II,72,ku-gould:17096,Black-naped Oriole,Oriolus chinensis,Philippine oriole
II,73,ku-gould:17092,Black-naped Oriole,Oriolus chinensis,Oriolus broderipi -- Broderip's oriole
II,74,ku-gould:17088,Maroon Oriole,Oriolus traillii,Psaropholus trailli
II,75,ku-gould:17084,Maroon Oriole,Oriolus traillii,Psaropholus ardens -- Red oriole
III,1,ku-gould:17065,Great Thrush,Turdus fuscater,Turdus fuscatus -- Clouded thrush
III,2,ku-gould:17061,Red-throated Thrush,Turdus ruficollis,
III,3,ku-gould:17057,Chestnut Thrush,Turdus rubrocanus,Turdus gouldi -- Gould's thrush
III,4,ku-gould:17053,Tickell's Thrush,Turdus unicolor,Merula unicolor -- Affghan thrush
III,5,ku-gould:17049,Chestnut Thrush,Turdus rubrocanus,Merula castanea -- Chestnut-coloured merula
III,6,ku-gould:17045,White-collared Blackbird,Turdus albocinctus,Merula albocincta -- White-collared merula
III,7,ku-gould:17041,Grey-winged Blackbird,Turdus boulboul,Merula boulboul -- Grey-winged merula
III,8,ku-gould:17037,Chestnut-bellied Rock Thrush,Monticola rufiventris,Petrocincla erythrogastra -- Chestnut-bellied rock-thrush
III,9,ku-gould:17033,Crested Finchbill,Spizixos canifrons,Crested spizixos
III,10,ku-gould:17029,Collared Finchbill,Spizixos semitorques,Chinese spizixos
III,11,ku-gould:17025,Light-vented Bulbul,Pycnonotus sinensis,Ixus sinensis -- Chinese bulbul
III,12,ku-gould:17021,Malagasy Bulbul,Hypsipetes madagascariensis,Hypsipetes nigerrima -- Formosan hypsipetes
III,13,ku-gould:17017,Greater Green Leafbird,Chloropsis sonnerati,Phyllornis javensis -- Javanese phyllornis
III,14,ku-gould:17013,Orange-bellied Leafbird,Chloropsis hardwickii,Phyllornis hardwicki -- Hardwick's phyllornis
III,15,ku-gould:17009,Orange-bellied Leafbird,Chloropsis hardwickii,Phyllornis hodgsoni -- Hodgson's phyllornis
III,16,ku-gould:17005,Golden-fronted Leafbird,Chloropsis aurifrons,Phyllornis malabaricus -- Malabar phyllornis
III,17,ku-gould:17001,Blue-winged Leafbird,Chloropsis cochinchinensis,Phyllornis jerdoni -- Jerdon's phyllornis
III,18,ku-gould:16997,Lesser Green Leafbird,Chloropsis cyanopogon,Phyllornis cyanopogon -- All-green phyllornis
III,19,ku-gould:16993,Asian Fairy-bluebird,Irena puella,Irena cyanea -- Malayan fairy bluebird
III,20,ku-gould:16989,Asian Fairy-bluebird,Irena puella,Irena cringler -- Bornean fairy bluebird
III,21,ku-gould:16985,Asian Fairy-bluebird,Irena puella,Indian fairy bluebird
III,22,ku-gould:16981,Irena cyanogaster,Irena cyanogaster,Irena cyanogastra -- Blue-mantled fairy bluebird
III,23,ku-gould:16977,Irena cyanogaster,Irena cyanogaster,Irena melanochlamys -- Black-mantled fairy bluebird
III,24,ku-gould:16973,Oriental Magpie-Robin,Copsychus saularis,Dial bird
III,25,ku-gould:16969,Oriental Magpie-Robin,Copsychus saularis,Copsychus mindanensis -- Malaccan dial bird
III,26,ku-gould:16965,White-rumped Shama,Copsychus malabaricus,Copsychus suavis -- Chestnut-bellied dial bird
III,27,ku-gould:16961,Myiophonus blighi,Myiophonus blighi,Myiophoneus blighi -- Bligh's whistling thrush
III,28,ku-gould:16957,Myiophonus insularis,Myiophonus insularis,Myiophoneus insularis -- Formosan whistling thrush
III,29,ku-gould:16953,White-bellied Shortwing,Brachypteryx major,Callene albiventris -- White-bellied callene
III,30,ku-gould:16949,Rufous-backed Sibia,Heterophasia annectens,Leioptila annectens -- Slender-billed chat-thrush
III,31,ku-gould:16945,Great Parrotbill,Conostoma oemodium,Conostoma aemodium -- Himalayan conostoma
III,32,ku-gould:16941,Dark-backed Sibia,Heterophasia melanoleuca,Sibia melanoleuca -- Black-and-white sibia
III,33,ku-gould:16937,Spot-breasted Scimitar Babbler,Pomatorhinus erythrocnemis,Red-kneed pomatorhinus
III,34,ku-gould:16933,Slender-billed Scimitar Babbler,Xiphirhynchus superciliaris,Xiphoramphus superciliaris -- Scimitar-bill
III,35,ku-gould:16929,Red-faced Liocichla,Liocichla phoenicea,Trochalopteron phoeniceum -- Crimson-winged trochalopteron
III,36,ku-gould:16925,Red-winged Laughingthrush,Garrulax formosus,Trochalopteron formosum -- Beautiful trochalopteron
III,37,ku-gould:16921,Black-faced Laughingthrush,Garrulax affinis,Trochalopteron affine -- Allied thrush
III,38,ku-gould:16917,Chestnut-crowned Laughingthrush,Garrulax erythrocephalus,Trochalopteron variegatum -- Variegated thrush
III,39,ku-gould:16913,Moustached Laughingthrush,Garrulax cineraceus,Trochalopteron cineraceum -- Cinerous trochalopteron
III,40,ku-gould:16909,Striped Laughingthrush,Garrulax virgatus,Trochalopteron virgatum -- White-eyebrowed trochalopteron
III,41,ku-gould:16905,Black-faced Laughingthrush,Garrulax affinis,Trochalopteron blythii -- Blyth's laughing thrush
III,42,ku-gould:16901,Elliot's Laughingthrush,Garrulax elliotii,Trochalopteron elliotii -- Elliot's trochalopteron
III,43,ku-gould:16897,Chestnut-crowned Laughingthrush,Garrulax erythrocephalus,Trochalopteron melanostigma -- Tickell's laughing thrush
III,44,ku-gould:16893,Spotted Laughingthrush,Garrulax ocellatus,Ianthocincla ocellata -- Ocellated ianthocincla
III,45,ku-gould:16889,Spotted Laughingthrush,Garrulax ocellatus,Ianthocincla artemisiae -- Allied ianthocincla
III,46,ku-gould:16885,Barred Laughingthrush,Garrulax lunulatus,Ianthocincla lunulata -- Lunulated ianthocincla
III,47,ku-gould:16881,Brown-capped Laughingthrush,Garrulax austeni,Ianthocincla austeni -- Austen's ianthocincla
III,48,ku-gould:16877,Wynaad Laughingthrush,Garrulax delesserti,Delessert's garrulax
III,49,ku-gould:16873,Rufous-vented Laughingthrush,Garrulax gularis,Yellow-throated garrulax
III,50,ku-gould:16869,White-throated Laughingthrush,Garrulax albogularis,Garrulax ruficeps -- Red-crowned garrulax
III,51,ku-gould:16865,Grey-sided Laughingthrush,Garrulax caerulatus,Garrulax poecilorhyncha -- Black-and-yellow-billed garrulax
III,52,ku-gould:16861,Yellow-throated Laughingthrush,Garrulax galbanus,Black-chinned garrulax
III,53,ku-gould:16857,"Greater Necklaced Laughing Thrush, Greater Necklaced Laughingthrush",Garrulax pectoralis,Garrulax picticollis -- Grey-backed laughing thrush
III,54,ku-gould:16853,Black-throated Laughingthrush,Garrulax chinensis,Chinese garrulax
III,55,ku-gould:16849,Plain Laughingthrush,Garrulax davidi,Pterorhinus davidi -- Pere david's pterorhinus
III,56,ku-gould:16845,Rusty-fronted Barwing,Actinodura egertoni,Egerton's actinodura
III,57,ku-gould:16841,Hoary-throated Barwing,Actinodura nipalensis,Nepalese actinodura
III,58,ku-gould:16837,Streak-throated Barwing,Actinodura waldeni,Walden's actinodura
III,59,ku-gould:16833,Spectacled Barwing,Actinodura ramsayi,Ramsay's bee-wing
III,60,ku-gould:16829,Long-billed Wren-Babbler,Rimator malacoptilus,Long-billed wren
III,61,ku-gould:16825,Gould's Shortwing,Brachypteryx stellata,Drymochares stellatus -- Stellated shortwing
III,62,ku-gould:16821,Eyebrowed Wren-Babbler,Napothera epilepidota,Turdinulus roberti -- Robert's pygmy babbler
III,63,ku-gould:16817,Streaked Wren-Babbler,Napothera brevicaudata,Turdinus brevicaudatus -- Short-tailed turdinus
III,64,ku-gould:16813,White-collared Yuhina,Yuhina diademata,White-naped yuhin
III,65,ku-gould:16809,Marsh Babbler,Pellorneum palustre,Marsh pellorneum
III,66,ku-gould:16805,Dusky Fulvetta,Alcippe brunnea,Brown alcippe
III,67,ku-gould:16801,Cutia nipalensis,Cutia nipalensis,
III,68,ku-gould:16797,Vinous-throated Parrotbill,Paradoxornis webbianus,Suthora brunnea -- Anderson's suthora
III,69,ku-gould:16793,Black-throated Parrotbill,Paradoxornis nipalensis,Suthora munipurensis -- Munipur suthora
III,70,ku-gould:16789,Black-throated Parrotbill,Paradoxornis nipalensis,Suthora nipalensis -- White-faced suthora
III,71,ku-gould:16785,Fulvous Parrotbil,Paradoxornis fulvifrons,Suthora fulvifrons -- Fulvous-fronted suthora
III,72,ku-gould:16781,Vinous-throated Parrotbill,Paradoxornis webbianus,Suthora webbiana -- Webb's suthora
III,73,ku-gould:16777,Spot-breasted Parrotbill,Paradoxornis guttaticollis,Paradoxornis austeni -- Austen's paradoxornis
III,74,ku-gould:16773,Reed Parrotbil,Paradoxornis heudei,Pere heude's paradoxornis
III,75,ku-gould:16769,Black-breasted Parrotbill,Paradoxornis flavirostris,Paradoxornis
III,76,ku-gould:16765,Brown Parrotbill,Paradoxornis unicolor,Long-tailed paradoxornis
III,77,ku-gould:16761,Grey-headed Parrotbill,Paradoxornis gularis,Grey-crowned paradoxornis
III,78,ku-gould:16757,Greater Rufous-headed Parrotbil,Paradoxornis ruficeps,Red-headed paradoxornis
IV,1,ku-gould:16736,Grey-bellied Tesia,Tesia cyaniventer,Tesia cyaneiventer -- Blue-bellied tesia
IV,2,ku-gould:16732,Tesia castaneocoronata,Tesia castaneocoronata,Tesia castaneo-coronata -- Chestnut-crowned tesia
IV,3,ku-gould:16728,Chinese Hill Warbler,Rhopophilus pekinensis,Chinese rhopophilus
IV,4,ku-gould:16724,Graceful Prinia,Prinia gracilis,Suya lepida -- Little suya
