plate,ku_id,ku_english,ku_sci
172,ku-gould:10719,Black-headed Bunting,Emberiza melanocephala
173,ku-gould:10715,Yellowhammer,Emberiza citrinella
174,ku-gould:10711,Yellow-breasted Bunting,Emberiza aureola
175,ku-gould:10707,Cirl Bunting,Emberiza cirlus
176,ku-gould:10703,Ortolan Bunting,Emberiza hortulana
177,ku-gould:10699,Rustic Bunting,Emberiza rustica
178,ku-gould:10695,Chestnut-eared Bunting,Emberiza fucata
179,ku-gould:10691,Rock Bunting,Emberiza cia
180,ku-gould:10687,Pine Bunting,Emberiza leucocephalos
181,ku-gould:10683,Cretzschmar's Bunting,Emberiza caesia
182,ku-gould:10679,"Common Reed Bunting, Common Reed-Bunting, Reed Bunting",Emberiza schoeniclus
183,ku-gould:10675,"Common Reed Bunting, Common Reed-Bunting, Reed Bunting",Emberiza schoeniclus
184,ku-gould:10671,"House Sparrow, Gorrión casero, moineau domestique",Passer montanus
185,ku-gould:10667,Spanish Sparrow,Passer hispaniolensis
186,ku-gould:10663,Rock Sparrow,Petronia petronia
187,ku-gould:10659,Common Chaffinch,Fringilla coelebs
188,ku-gould:10655,Brambling,Fringilla montifringilla
189,ku-gould:10651,White-winged Snowfinch,Montifringilla nivalis
190,ku-gould:10647,"Dark-eyed Junco, junco ardoisé, Junco ojo oscuro",Junco hyemalis
191,ku-gould:10643,Common Linnet,Carduelis cannabina
192,ku-gould:10639,Twite,Carduelis flavirostris
193,ku-gould:10635,"Arctic Redpoll, Hoary Redpoll, sizerin blanchâtre",Carduelis hornemanni
194,ku-gould:10631,"Common Redpoll, sizerin flammé",Carduelis flammea
195,ku-gould:10627,European Serin,Serinus serinus
196,ku-gould:10623,"Eurasian Goldfinch, European Goldfinch, chardonneret élégant",Carduelis carduelis
197,ku-gould:10619,Eurasian Siskin,Carduelis spinus
198,ku-gould:10615,Citril Finch,Carduelis citrinella
199,ku-gould:10611,Hawfinch,Coccothraustes coccothraustes
200,ku-gould:10607,European Greenfinch,Carduelis chloris
201,ku-gould:10603,Parrot Crossbill,Loxia pytyopsittacus
202,ku-gould:10599,"Red Crossbill, bec-croisé des sapins, Picotuerto rojo",Loxia curvirostra
203,ku-gould:10595,"Two-barred Crossbill, White-winged Crossbill, bec-croisé bifascié",Loxia leucoptera
204,ku-gould:10591,"Pine Grosbeak, durbec des sapins",Pinicola enucleator
205,ku-gould:10587,"Two-barred Crossbill, White-winged Crossbill",Loxia leucoptera
206,ku-gould:10583,Common Rosefinch,Carpodacus erythrinus
207,ku-gould:10579,Common Rosefinch,Carpodacus erythrinus
208,ku-gould:10575,Trumpeter Finch,Bucanetes githagineus
209,ku-gould:10571,Eurasian Bullfinch,Pyrrhula pyrrhula
210,ku-gould:10567,"Common Starling, Estornino pinto, étourneau sansonnet, European Starling",Sturnus vulgaris
211,ku-gould:10563,Spotless Starling,Sturnus unicolor
212,ku-gould:10559,Rosy Starling,Sturnus roseus
213,ku-gould:10555,Spotted Nutcracker,Nucifraga caryocatactes
214,ku-gould:10551,Eurasian Jay,Garrulus glandarius
215,ku-gould:10547,Siberian Jay,Perisoreus infaustus
216,ku-gould:10543,"Black-billed Magpie, Eurasian Magpie, pie bavarde",Pica pica
217,ku-gould:10539,Azure-winged Magpie,Cyanopica cyana
218,ku-gould:10535,Alpine Chough,Pyrrhocorax graculus
219,ku-gould:10531,Alpine Chough,Pyrrhocorax graculus
220,ku-gould:10527,"Common Raven, Cuervo común, grand corbeau, Northern Raven",Corvus corax
221,ku-gould:10523,Carrion Crow,Corvus corone
222,ku-gould:10519,Hooded crow,Corvus cornix
223,ku-gould:10515,"Eurasian Crow, Eurasian Jackdaw, Western Jackdaw, choucas des tours",Corvus monedula
224,ku-gould:10511,Rook,Corvus frugilegus
225,ku-gould:10507,Black Woodpecker,Dryocopus martius
226,ku-gould:10503,European Green Woodpecker,Picus viridis
227,ku-gould:10499,Grey-headed Woodpecker,Picus canus
228,ku-gould:10495,White-backed Woodpecker,Dendrocopos leucotos
229,ku-gould:10491,Great Spotted Woodpecker,Dendrocopos major
230,ku-gould:10487,Middle Spotted Woodpecker,Dendrocopos medius
231,ku-gould:10483,Lesser Spotted Woodpecker,Dendrocopos minor
232,ku-gould:10479,"Eurasian Three-toed Woodpecker, Three-toed Woodpecker, pic tridactyle",Picoides tridactylus
233,ku-gould:10475,Eurasian Wryneck,Jynx torquilla
234,ku-gould:10471,Eurasian Nuthatch,Sitta europaea
235,ku-gould:10467,Western Rock Nuthatch,Sitta neumayer
236,ku-gould:10463,Eurasian Nuthatch,Sitta europaea
237,ku-gould:10459,Eurasian Treecreeper,Certhia familiaris
238,ku-gould:10455,"Common Hoopoe, Eurasian Hoopoe, Hoopoe",Upupa epops
239,ku-gould:10451,Wallcreeper,Tichodroma muraria
240,ku-gould:10447,Common Cuckoo,Cuculus canorus
241,ku-gould:10443,Great Spotted Cuckoo,Clamator glandarius
242,ku-gould:10439,"Yellow-billed Cuckoo, coulicou à bec jaune, Cuclillo pico amarillo",Coccyzus americanus
243,ku-gould:10417,Common Wood Pigeon,Columba palumbus
244,ku-gould:10413,Stock Dove,Columba oenas
245,ku-gould:10409,"Common Pigeon, Paloma doméstica, pigeon biset, Rock Dove, Rock Pigeon",Columba livia
246,ku-gould:10405,"European Turtle Dove, European Turtle-Dove",Streptopelia turtur
247,ku-gould:10401,"Common Pheasant, faisan de chasse, Faisán de collar, Ring-necked Pheasant",Phasianus colch icus
248,ku-gould:10397,Western Capercaillie,Tetrao urogallus
249,ku-gould:10393,Western Capercaillie,Tetrao urogallus
250,ku-gould:10389,"Black Grouse, Eurasian Black Grouse",Lyrurus tetrix
251,ku-gould:10385,Hazel Grouse,Tetrastes bonasia
252,ku-gould:10381,"Willow Grouse, Willow Ptarmigan, lagopède des saules",Lagopus lagopus
253,ku-gould:10377,Rock Ptarmigan,Lagopus muta
254,ku-gould:10373,Rock Ptarmigan,Lagopus muta
255,ku-gould:10369,"Willow Grouse, Willow Ptarmigan, lagopède des saules",Lagopus lagopus
256,ku-gould:10365,"lagopède des saules, Willow Grouse, Willow Ptarmigan",Lagopus lagopus
257,ku-gould:10361,Black-bellied Sandgrouse,Pterocles orientalis arenarius
258,ku-gould:10357,Pin-tailed Sandgrouse,Pterocles alchata
259,ku-gould:10353,Francolinus vulgaris,Francolinus vulgaris
260,ku-gould:10349,Red-legged Partridge,Alectoris rufa
261,ku-gould:10345,Barbary Partridge,Alectoris graeca saxatilis
262,ku-gould:10341,"Gray Partridge, Grey Partridge, perdrix grise",Perdix perdix
263,ku-gould:10337,Common Quail,Coturnix coturnix
264,ku-gould:10333,"Common Buttonquail, Kurrichane Buttonquail",Turnix sylvaticus
265,ku-gould:10329,"Collared Pratincole, Glaréole à collier",Glareola pratincola
266,ku-gould:10325,Cream-colored Courser,Cursorius cursor
267,ku-gould:10321,Great Bustard,Otis tarda
268,ku-gould:10317,Houbara Bustard,Chlamydotis undulata
269,ku-gould:10313,Little Bustard,Tetrax tetrax
270,ku-gould:10309,Common Crane,Grus grus
271,ku-gould:10305,"Siberian Crane, Siberian White Crane",Grus leucogeranus
272,ku-gould:10301,Demoiselle Crane,Anthropoides virgo
273,ku-gould:10297,"Gray Heron, Grey Heron, Héron cendré",Aquila cinerea
274,ku-gould:10293,"Purple Heron, Héron pourpré",Aquila purpurea
275,ku-gould:10289,Squacco Heron,Ardeola ralloides
276,ku-gould:10285,"Great Egret, Grande Aigrette",Aquila alba
277,ku-gould:10281,"Little Egret, Aigrette garzett",Egretta garzetta
278,ku-gould:10277,"Cattle Egret, , Western Cattle Egret, Garza ganadera, Héron garde-boeufs",Bubulcus ibis
279,ku-gould:10273,"Black-crowned Night Heron, Black-crowned Night-Heron,Bihoreau gris, Pedrete corona negra",Nycticorax nycticorax
280,ku-gould:10269,Eurasian Bittern,Botaurus stellaris
281,ku-gould:10265,"American Bittern, Avetoro norteño, Butor d'Amérique",Botaurus lentiginosus
282,ku-gould:10261,"Little Bittern, Blongios nain",Ixobrychus minutus
283,ku-gould:10257,White Stork,Ciconia ciconia
284,ku-gould:10253,Black Stork,Ciconia nigra
285,ku-gould:10249,Maguari Stork,Ciconia maguari
286,ku-gould:10245,"Eurasian Spoonbill, Spatule blanche",Platalea leucorodia
287,ku-gould:10241,"American Flamingo, Flamant des Caraïbes, flamant rose, Flamenco americano, Greater Flamingo",Phoenicopterus ruber
288,ku-gould:10237,Eurasian Stone-curlew,Burhinus oedicnemus
289,ku-gould:10233,"Black-winged Stilt, Échasse blanche",Himantopus himantopus
290,ku-gould:10229,"Black-bellied Plover, Grey Plover, Chorlo gris, Pluvier argenté",Pluvialis squatarola
291,ku-gould:10225,"Northern Lapwing, Vanneau huppé",Vanellus vanellus
292,ku-gould:10221,Sociable Lapwing,Vanellus gregarius
293,ku-gould:10217,Spur-winged Lapwing,Vanellus spinosus
294,ku-gould:10213,"European Golden Plover, European Golden-Plover, Greater Golden-Plover, Pluvier doré",Pluvialis apricaria
295,ku-gould:10209,"Eurasian Dotterel, Pluvier guignard",Charadrius morinellus
296,ku-gould:10205,"Common Ringed Plover, Pluvier grand-gravelot",Charadrius hiaticula
297,ku-gould:10201,"Little Ringed Plover, Pluvier petit-gravelot",Charadrius dubius
298,ku-gould:10197,"Kentish Plover, Snowy Plover, Chorlo nevado",Charadrius alexandrinus alexandrinus
299,ku-gould:10193,"Lesser Sand Plover, Lesser Sand-Plover, Mongolian Plover, Pluvier de Mongolie",Charadrius mongolus
300,ku-gould:10189,"Eurasian Oystercatcher, Huîtrier pie",Haematopus ostralegus
301,ku-gould:10185,"Glossy Ibis, Ibis cara oscura, Ibis falcinelle",Plegadis falcinellus
302,ku-gould:10181,"Eurasian Curlew, Courlis cendré",Numenius arquata
303,ku-gould:10177,"Whimbrel, Courlis corlieu, Zarapito trinador",Numenius phaeopus
304,ku-gould:10173,"Slender-billed Curlew, Courlis à bec grêle",Numenius tenuirostris
305,ku-gould:10169,"Black-tailed Godwit, Barge à queue noire",Limosa limosa
306,ku-gould:10165,"Bar-tailed Godwit, Barge rousse, Picopando cola barrada",Limosa lapponica
307,ku-gould:10161,"Terek Sandpiper, Chevalier bargette",Xenus cinereus
308,ku-gould:10157,Pied Avocet,Recurvirostra avosetta
309,ku-gould:10153,"Spotted Redshank, Chevalier arlequin",Tringa erythropus
310,ku-gould:10149,"Common Redshank, Chevalier gambette",Tringa totanus
311,ku-gould:10145,"Willet, Chevalier semipalmé",Tringa semipalmata
312,ku-gould:10141,"Common Greenshank, Chevalier aboyeur",Tringa nebularia
313,ku-gould:10137,"Upland Sandpiper, Maubèche des champs, Zarapito ganga",Bartramia longicauda
314,ku-gould:10133,"Marsh Sandpiper, Chevalier stagnatile",Tringa stagnatilis
315,ku-gould:10129,"Green Sandpiper, Chevalier cul-blanc",Tringa ochropus
316,ku-gould:10125,"Common Sandpiper, Chevalier guignett",Actitis hypoleucos
317,ku-gould:10121,"Spotted Sandpiper, Chevalier grivelé",Actitis macularius
318,ku-gould:10117,"Ruddy Turnstone, Tournepierre à collier, Vuelvepiedras rojizo",Arenaria interpres
319,ku-gould:10113,"Eurasian Woodcock, Bécasse des bois",Scolopax rusticola
320,ku-gould:10109,Great Snipe,Gallinago media
