volume,plate,list_name,list_latin,caption_latin,bhl_barcode,bhl_item,leaf,bhl_page,orientation,rotate,scan_url,page_url,sheet_asset,crop_asset,notes
VI,74,Thibet Partridge,Perdix Hodgsoniae,PERDIX HODGSONIE.,BirdsAsiaJohnGoVIGoul,122488,304,39632313,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIGoul/BirdsAsiaJohnGoVIGoul_0304.jp2,https://www.biodiversitylibrary.org/page/39632313,sheet-BirdsAsiaJohnGoVIGoul-0304.jpg,crop-BirdsAsiaJohnGoVIGoul-0304.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VI,75,Lerwa Partridge,Lerwa nivicola,N1ERWA NIVICONAg Hodgs.,BirdsAsiaJohnGoVIGoul,122488,308,39632317,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIGoul/BirdsAsiaJohnGoVIGoul_0308.jp2,https://www.biodiversitylibrary.org/page/39632317,sheet-BirdsAsiaJohnGoVIGoul-0308.jpg,crop-BirdsAsiaJohnGoVIGoul-0308.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,1,Bonham's Sand-Partridge,Ammoperdix Bonhami,AMMOPERDIX BONHAMI.,BirdsAsiaJohnGoVIIGoul,122491,12,39633025,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIIGoul/BirdsAsiaJohnGoVIIGoul_0012.jp2,https://www.biodiversitylibrary.org/page/39633025,sheet-BirdsAsiaJohnGoVIIGoul-0012.jpg,crop-BirdsAsiaJohnGoVIIGoul-0012.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,2,Hey's Sand-Partridge,Ammoperdix Heyi,"AMМОРERDIX HEYI,",BirdsAsiaJohnGoVIIGoul,122491,16,39633029,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIIGoul/BirdsAsiaJohnGoVIIGoul_0016.jp2,https://www.biodiversitylibrary.org/page/39633029,sheet-BirdsAsiaJohnGoVIIGoul-0016.jpg,crop-BirdsAsiaJohnGoVIIGoul-0016.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,3,Little Red-billed Partridge,Microperdix erythrorhyncha,MICROPERDIX ERYTHRORHYNCHA.,BirdsAsiaJohnGoVIIGoul,122491,20,39633033,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIIGoul/BirdsAsiaJohnGoVIIGoul_0020.jp2,https://www.biodiversitylibrary.org/page/39633033,sheet-BirdsAsiaJohnGoVIIGoul-0020.jpg,crop-BirdsAsiaJohnGoVIIGoul-0020.jpg,
VII,4,Asiatic Bush-Quail,Perdicula Asiatica,PERDICULA ASIATICA.,BirdsAsiaJohnGoVIIGoul,122491,24,39633037,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIIGoul/BirdsAsiaJohnGoVIIGoul_0024.jp2,https://www.biodiversitylibrary.org/page/39633037,sheet-BirdsAsiaJohnGoVIIGoul-0024.jpg,crop-BirdsAsiaJohnGoVIIGoul-0024.jpg,
VII,5,Argoondah Bush-Quail,Perdicula Argoondah,PERDICULA ARGOONDAH.,BirdsAsiaJohnGoVIIGoul,122491,28,39633041,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIIGoul/BirdsAsiaJohnGoVIIGoul_0028.jp2,https://www.biodiversitylibrary.org/page/39633041,sheet-BirdsAsiaJohnGoVIIGoul-0028.jpg,crop-BirdsAsiaJohnGoVIIGoul-0028.jpg,
VII,6,Chinese Quail,Excalfactoria Chinensis,EXCALFATORIA CHONENSIS •,BirdsAsiaJohnGoVIIGoul,122491,32,39633045,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIIGoul/BirdsAsiaJohnGoVIIGoul_0032.jp2,https://www.biodiversitylibrary.org/page/39633045,sheet-BirdsAsiaJohnGoVIIGoul-0032.jpg,crop-BirdsAsiaJohnGoVIIGoul-0032.jpg,
VII,7,Minute Quail,Excalfactoria minima,"EXCALFATORIA MINIMA, Goald.",BirdsAsiaJohnGoVIIGoul,122491,36,39633049,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIIGoul/BirdsAsiaJohnGoVIIGoul_0036.jp2,https://www.biodiversitylibrary.org/page/39633049,sheet-BirdsAsiaJohnGoVIIGoul-0036.jpg,crop-BirdsAsiaJohnGoVIIGoul-0036.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,8,Slate-coloured Partridge,Malacoturnix superciliosus,MALACOTURNIX SUPERCILIOSUS .,BirdsAsiaJohnGoVIIGoul,122491,40,39633053,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIIGoul/BirdsAsiaJohnGoVIIGoul_0040.jp2,https://www.biodiversitylibrary.org/page/39633053,sheet-BirdsAsiaJohnGoVIIGoul-0040.jpg,crop-BirdsAsiaJohnGoVIIGoul-0040.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,9,Coromandel Quail,Coturnix Coromandelicus,COTURNIX COROMANDELICA.,BirdsAsiaJohnGoVIIGoul,122491,44,39633057,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIIGoul/BirdsAsiaJohnGoVIIGoul_0044.jp2,https://www.biodiversitylibrary.org/page/39633057,sheet-BirdsAsiaJohnGoVIIGoul-0044.jpg,crop-BirdsAsiaJohnGoVIIGoul-0044.jpg,
VII,10,Little Hemipode,Turnix Dussumieri,TURNIX DOSSUMERI. Temm.,BirdsAsiaJohnGoVIIGoul,122491,48,39633061,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIIGoul/BirdsAsiaJohnGoVIIGoul_0048.jp2,https://www.biodiversitylibrary.org/page/39633061,sheet-BirdsAsiaJohnGoVIIGoul-0048.jpg,crop-BirdsAsiaJohnGoVIIGoul-0048.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,11,Fasciated Hemipode,Turnix fasciatus,TURNIX FASCIATUS.,BirdsAsiaJohnGoVIIGoul,122491,52,39633065,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIIGoul/BirdsAsiaJohnGoVIIGoul_0052.jp2,https://www.biodiversitylibrary.org/page/39633065,sheet-BirdsAsiaJohnGoVIIGoul-0052.jpg,crop-BirdsAsiaJohnGoVIIGoul-0052.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,12,Chestnut-tailed Lobed Pheasant,Lobiophasis castaneicaudatus,"LOBIOPRASIS CASTANEICAUDATUS, Sharpe",BirdsAsiaJohnGoVIIGoul,122491,56,39633069,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIIGoul/BirdsAsiaJohnGoVIIGoul_0056.jp2,https://www.biodiversitylibrary.org/page/39633069,sheet-BirdsAsiaJohnGoVIIGoul-0056.jpg,crop-BirdsAsiaJohnGoVIIGoul-0056.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
