plate,figure,printed_name,printed_latin,scientific,common,ebird_code,taxonomy,wikidata,gbif,avibase,birdnet_label,form,confidence,caption_checked,reason,sources
47,,Ruby-throated Humming Bird,,Archilochus colubris,Ruby-throated Hummingbird,rthhum,eBird/Clements 2025,Q834843,5228514,DEC3D8D0C74C598B,Archilochus colubris_Ruby-throated Hummingbird,,high,,Audubon's “Ruby-throated Humming Bird” is today's Ruby-throated Hummingbird,Featherframe havell.yaml; plate title from audubon.org
48,,Azure Warbler,,Setophaga cerulea,Cerulean Warbler,cerwar,eBird/Clements 2025,Q25066647,6093350,D00EC2C974F1B880,Setophaga cerulea_Cerulean Warbler,,high,,Audubon's “Azure Warbler” is today's Cerulean Warbler,Featherframe havell.yaml; plate title from audubon.org
49,,Blue-green Warbler,,,,,,,,,,,none,,"not identified here yet: Featherframe pins one plate per species, and this is likely a second plate of one",
50,,Black & Yellow Warbler,,,,,,,,,,,none,,"not identified here yet: Featherframe pins one plate per species, and this is likely a second plate of one",
51,,Red-tailed Hawk,,Buteo jamaicensis,Red-tailed Hawk,rethaw,eBird/Clements 2025,Q457471,2480542,536A5157A50E1F3C,Buteo jamaicensis_Red-tailed Hawk,,high,,,Featherframe havell.yaml; plate title from audubon.org
52,,Chuck-will's Widow,,Antrostomus carolinensis,Chuck-will's-widow,chwwid,eBird/Clements 2025,Q1262147,6101173,8D3E887123F5C670,Antrostomus carolinensis_Chuck-will's-widow,,high,,Audubon's “Chuck-will's Widow” is today's Chuck-will's-widow,Featherframe havell.yaml; plate title from audubon.org
53,,Painted Finch,,Passerina ciris,Painted Bunting,paibun,eBird/Clements 2025,Q932970,5230852,0BDB87DE301150B2,Passerina ciris_Painted Bunting,,high,,Audubon's “Painted Finch” is today's Painted Bunting,Featherframe havell.yaml; plate title from audubon.org
54,,Rice Bird,,Dolichonyx oryzivorus,Bobolink,boboli,eBird/Clements 2025,Q591831,2484417,F845062FC976B85B,Dolichonyx oryzivorus_Bobolink,,high,,Audubon's “Rice Bird” is today's Bobolink,Featherframe havell.yaml; plate title from audubon.org
55,,Cuvier's Kinglet,,,,,,,,,,,none,,Cuvier's Kinglet: not a valid species,
56,,Red-shouldered Hawk,,Buteo lineatus,Red-shouldered Hawk,reshaw,eBird/Clements 2025,Q1052043,2480529,EA4D6C0B76852200,Buteo lineatus_Red-shouldered Hawk,,high,,,Featherframe havell.yaml; plate title from audubon.org
57,,Loggerhead Shrike,,Lanius ludovicianus,Loggerhead Shrike,logshr,eBird/Clements 2025,Q430863,2492870,36171C2B964AD4D0,Lanius ludovicianus_Loggerhead Shrike,,high,,,Featherframe havell.yaml; plate title from audubon.org
58,,Hermit Thrush,,Catharus guttatus,Hermit Thrush,herthr,eBird/Clements 2025,Q846350,2490810,B01E8BD42E1785F2,Catharus guttatus_Hermit Thrush,,high,,,Featherframe havell.yaml; plate title from audubon.org
