plate,figure,printed_name,printed_latin,scientific,common,ebird_code,taxonomy,wikidata,gbif,avibase,birdnet_label,form,confidence,caption_checked,reason,sources
214,,Razor Bill,,Alca torda,Razorbill,razorb,eBird/Clements 2025,Q27102,8277073,64F4DD81371B269F,Alca torda_Razorbill,,high,,Audubon's “Razor Bill” is today's Razorbill,Featherframe havell.yaml; plate title from audubon.org
215,,Hyperborean phalarope,,Phalaropus lobatus,Red-necked Phalarope,renpha,eBird/Clements 2025,Q206840,5739290,E6F3BA54577746FB,Phalaropus lobatus_Red-necked Phalarope,,high,,Audubon's “Hyperborean phalarope” is today's Red-necked Phalarope,Featherframe havell.yaml; plate title from audubon.org
216,,Wood Ibiss,,Mycteria americana,Wood Stork,woosto,eBird/Clements 2025,Q990175,2481937,19196211B7630B88,Mycteria americana_Wood Stork,,high,,Audubon's “Wood Ibiss” is today's Wood Stork,Featherframe havell.yaml; plate title from audubon.org
217,,Louisiana Heron,,Egretta tricolor,Tricolored Heron,triher,eBird/Clements 2025,Q392139,2480881,031409C72898108C,Egretta tricolor_Tricolored Heron,,high,,Audubon's “Louisiana Heron” is today's Tricolored Heron,Featherframe havell.yaml; plate title from audubon.org
218,,Foolish Guillemot,,Uria aalge,Common Murre,commur,eBird/Clements 2025,Q21062,2481342,39F29B55EF9A542F,Uria aalge_Common Murre,,high,,Audubon's “Foolish Guillemot” is today's Common Murre,Featherframe havell.yaml; plate title from audubon.org
219,,Black Guillemot,,Cepphus grylle,Black Guillemot,blkgui,eBird/Clements 2025,Q212055,2481312,B5AA5952E13FE5F3,Cepphus grylle_Black Guillemot,,high,,,Featherframe havell.yaml; plate title from audubon.org
220,,Piping Plover,,Charadrius melodus,Piping Plover,pipplo,eBird/Clements 2025,Q1351070,2480283,671B69FE824DC9FF,Charadrius melodus_Piping Plover,,high,,,Featherframe havell.yaml; plate title from audubon.org
221,,Mallard Duck,,Anas platyrhynchos,Mallard,mallar3,eBird/Clements 2025,Q25348,9761484,85625D75F2524457,Anas platyrhynchos_Mallard,,high,,Audubon's “Mallard Duck” is today's Mallard,Featherframe havell.yaml; plate title from audubon.org
222,,White Ibis,,Eudocimus albus,White Ibis,whiibi,eBird/Clements 2025,Q589171,5229205,74EDE3CA4FD29DC6,Eudocimus albus_White Ibis,,high,,,Featherframe havell.yaml; plate title from audubon.org
223,,Pied oyster-catcher,,Haematopus palliatus,American Oystercatcher,ameoys,eBird/Clements 2025,Q692644,2480273,981CE782575DD8E7,Haematopus palliatus_American Oystercatcher,,high,,Audubon's “Pied oyster-catcher” is today's American Oystercatcher,Featherframe havell.yaml; plate title from audubon.org
224,,Kittiwake Gull,,Rissa tridactyla,Black-legged Kittiwake,bklkit,eBird/Clements 2025,Q26612,2481205,FB4D08F0837D4683,Rissa tridactyla_Black-legged Kittiwake,,high,,Audubon's “Kittiwake Gull” is today's Black-legged Kittiwake,Featherframe havell.yaml; plate title from audubon.org
225,,Kildeer Plover,,Charadrius vociferus,Killdeer,killde,eBird/Clements 2025,Q755737,2480320,BCF9A19AFE372627,Charadrius vociferus_Killdeer,,high,,Audubon's “Kildeer Plover” is today's Killdeer,Featherframe havell.yaml; plate title from audubon.org
226,,Hooping Crane,,Grus americana,Whooping Crane,whocra,eBird/Clements 2025,Q457477,2474941,B87D744DCD48ECC9,Grus americana_Whooping Crane,,high,,Audubon's “Hooping Crane” is today's Whooping Crane,Featherframe havell.yaml; plate title from audubon.org
227,,Pin tailed Duck,,Anas acuta,Northern Pintail,norpin,eBird/Clements 2025,Q25450,2498112,56CCA7179C9FA71D,Anas acuta_Northern Pintail,,high,,Audubon's “Pin tailed Duck” is today's Northern Pintail,Featherframe havell.yaml; plate title from audubon.org
228,,Green winged Teal,,Anas crecca,Green-winged Teal,gnwtea,eBird/Clements 2025,Q25700,8214667,115F04DDF18F7CFF,Anas crecca_Green-winged Teal,,high,,Audubon's “Green winged Teal” is today's Green-winged Teal,Featherframe havell.yaml; plate title from audubon.org
229,,Scaup Duck,,Aythya marila,Greater Scaup,gresca,eBird/Clements 2025,Q26635,2498265,25C94A8F90A829F7,Aythya marila_Greater Scaup,,high,,Audubon's “Scaup Duck” is today's Greater Scaup,Featherframe havell.yaml; plate title from audubon.org
230,,Ruddy Plover,,Calidris alba,Sanderling,sander,eBird/Clements 2025,Q58958,2481748,06B9BD243A756B28,Calidris alba_Sanderling,,high,,Audubon's “Ruddy Plover” is today's Sanderling,Featherframe havell.yaml; plate title from audubon.org
231,,Long-billed Curlew,,Numenius americanus,Long-billed Curlew,lobcur,eBird/Clements 2025,Q76471,2481794,5284C27B1DE872F2,Numenius americanus_Long-billed Curlew,,high,,,Featherframe havell.yaml; plate title from audubon.org
232,,Hooded Merganser,,Lophodytes cucullatus,Hooded Merganser,hoomer,eBird/Clements 2025,Q241349,2498408,60E6081E3DF8CFA4,Lophodytes cucullatus_Hooded Merganser,,high,,,Featherframe havell.yaml; plate title from audubon.org
233,,Sora or Rail,,Porzana carolina,Sora,sora,eBird/Clements 2025,Q936740,2474639,2CC21529B5674AEB,Porzana carolina_Sora,,high,,Audubon's “Sora or Rail” is today's Sora,Featherframe havell.yaml; plate title from audubon.org
234,,Tufted Duck,,Aythya collaris,Ring-necked Duck,rinduc,eBird/Clements 2025,Q601055,2498264,0783A7EA9C26947D,Aythya collaris_Ring-necked Duck,,high,,Audubon's “Tufted Duck” is today's Ring-necked Duck,Featherframe havell.yaml; plate title from audubon.org
235,,Sooty Tern,,Onychoprion fuscatus,Sooty Tern,sooter1,eBird/Clements 2025,Q28482,5789284,3E7F825D03C0DC3E,Onychoprion fuscatus_Sooty Tern,,high,,,Featherframe havell.yaml; plate title from audubon.org
236,,Night Heron or Qua bird,,Nycticorax nycticorax,Black-crowned Night Heron,bcnher,eBird/Clements 2025,Q126216,2480863,6BB94D7EA4D041A8,Nycticorax nycticorax_Black-crowned Night-Heron,,high,,Audubon's “Night Heron or Qua bird” is today's Black-crowned Night Heron,Featherframe havell.yaml; plate title from audubon.org
237,,Hudsonian Curlew,,Numenius hudsonicus,Hudsonian Whimbrel,whimbr3,eBird/Clements 2025,,,,Numenius phaeopus_Whimbrel,,high,,Audubon's “Hudsonian Curlew” is today's Hudsonian Whimbrel; eBird splits Whimbrel; the binomial stays with Eurasian Whimbrel,Featherframe havell.yaml; plate title from audubon.org
238,,Great Marbled Godwit,,Limosa fedoa,Marbled Godwit,margod,eBird/Clements 2025,Q844714,2481684,249AE8DFD7F51354,Limosa fedoa_Marbled Godwit,,high,,Audubon's “Great Marbled Godwit” is today's Marbled Godwit,Featherframe havell.yaml; plate title from audubon.org
239,,American Coot,,Fulica americana,American Coot,y00475,eBird/Clements 2025,Q470016,2474393,4FB248BAEFEC2868,Fulica americana_American Coot,,high,,,Featherframe havell.yaml; plate title from audubon.org
240,,Roseate Tern,,Sterna dougallii,Roseate Tern,roster,eBird/Clements 2025,Q321293,5229249,74236837A4AFD042,Sterna dougallii_Roseate Tern,,high,,,Featherframe havell.yaml; plate title from audubon.org
241,,Black Backed Gull,,Larus marinus,Great Black-backed Gull,gbbgul,eBird/Clements 2025,Q26629,2481172,E826E9F3FBAED223,Larus marinus_Great Black-backed Gull,,high,,Audubon's “Black Backed Gull” is today's Great Black-backed Gull,Featherframe havell.yaml; plate title from audubon.org
242,,Snowy Heron or White Egret,,Egretta thula,Snowy Egret,snoegr,eBird/Clements 2025,Q59785,2480873,AA7901D88E7203E5,Egretta thula_Snowy Egret,,high,,Audubon's “Snowy Heron or White Egret” is today's Snowy Egret,Featherframe havell.yaml; plate title from audubon.org
243,,American Snipe,,Gallinago delicata,Wilson's Snipe,wilsni1,eBird/Clements 2025,Q64927,2481817,F5C8516D3B9C7686,Gallinago delicata_Wilson's Snipe,,high,,Audubon's “American Snipe” is today's Wilson's Snipe,Featherframe havell.yaml; plate title from audubon.org
244,,Common Gallinule,,Gallinula galeata,Common Gallinule,comgal1,eBird/Clements 2025,Q1263469,7340222,3EF081A8ED429A45,Gallinula galeata_Common Gallinule,,high,,,Featherframe havell.yaml; plate title from audubon.org
245,,Thick-billed Murre,,Uria lomvia,Thick-billed Murre,thbmur,eBird/Clements 2025,Q728682,2481339,B70B5840ABCD5CFC,Uria lomvia_Thick-billed Murre,,high,,,Featherframe havell.yaml; plate title from audubon.org
246,,Eider Duck,,Somateria mollissima,Common Eider,comeid,eBird/Clements 2025,Q26696,2498352,B77377EEB852D0AF,Somateria mollissima_Common Eider,,high,,Audubon's “Eider Duck” is today's Common Eider,Featherframe havell.yaml; plate title from audubon.org
247,,Velvet Duck,,Melanitta fusca,Velvet Scoter,whwsco3,eBird/Clements 2025,Q40526803,7191092,,Melanitta fusca_Velvet Scoter,,high,,Audubon's “Velvet Duck” is today's Velvet Scoter,Featherframe havell.yaml; plate title from audubon.org
248,,American Pied-bill Dobchick,,Podilymbus podiceps,Pied-billed Grebe,pibgre,eBird/Clements 2025,Q579718,2482077,9A8E55D00554A088,Podilymbus podiceps_Pied-billed Grebe,,high,,Audubon's “American Pied-bill Dobchick” is today's Pied-billed Grebe,Featherframe havell.yaml; plate title from audubon.org
249,,Tufted Auk,,Fratercula cirrhata,Tufted Puffin,tufpuf,eBird/Clements 2025,Q838607,2481357,F79373497BC9C8FD,,,high,,Audubon's “Tufted Auk” is today's Tufted Puffin,Featherframe havell.yaml; plate title from audubon.org
250,,Arctic Tern,,Sterna paradisaea,Arctic Tern,arcter,eBird/Clements 2025,Q26800,5229230,BDC5CF80BE6CFC21,Sterna paradisaea_Arctic Tern,,high,,,Featherframe havell.yaml; plate title from audubon.org
251,,Brown Pelican,,Pelecanus occidentalis,Brown Pelican,brnpel,eBird/Clements 2025,Q208714,5229158,F59AB6B357BF97D8,Pelecanus occidentalis_Brown Pelican,,high,,,Featherframe havell.yaml; plate title from audubon.org
252,,Florida Cormorant,,,,,,,,,,,none,,"not identified here yet: Featherframe pins one plate per species, and this is likely a second plate of one",
253,,Jager,,Stercorarius pomarinus,Pomarine Jaeger,pomjae,eBird/Clements 2025,Q212767,2481609,7CB8F5B711DE64D0,Stercorarius pomarinus_Pomarine Jaeger,,high,,Audubon's “Jager” is today's Pomarine Jaeger,Featherframe havell.yaml; plate title from audubon.org
254,,Wilson's Phalarope,,Phalaropus tricolor,Wilson's Phalarope,wilpha,eBird/Clements 2025,Q45696,5229389,667C6969D7874433,Phalaropus tricolor_Wilson's Phalarope,,high,,,Featherframe havell.yaml; plate title from audubon.org
255,,Red Phalarope,,Phalaropus fulicarius,Red Phalarope,redpha1,eBird/Clements 2025,Q208335,5229390,18A1938091EEEA73,Phalaropus fulicarius_Red Phalarope,,high,,,Featherframe havell.yaml; plate title from audubon.org
256,,Purple Heron,,Egretta rufescens,Reddish Egret,redegr,eBird/Clements 2025,Q258791,2480888,D8A24A3EDDC19AA4,Egretta rufescens_Reddish Egret,,high,,Audubon's “Purple Heron” is today's Reddish Egret,Featherframe havell.yaml; plate title from audubon.org
257,,Double-crested Cormorant,,Nannopterum auritum,Double-crested Cormorant,doccor,eBird/Clements 2025,Q725289,2481875,3AC46C54EE4A6251,Nannopterum auritum_Double-crested Cormorant,,high,,,Featherframe havell.yaml; plate title from audubon.org
258,,Hudsonian Godwit,,Limosa haemastica,Hudsonian Godwit,hudgod,eBird/Clements 2025,Q283458,2481680,930139644308C7B7,Limosa haemastica_Hudsonian Godwit,,high,,,Featherframe havell.yaml; plate title from audubon.org
259,,Horned Grebe,,Podiceps auritus,Horned Grebe,horgre,eBird/Clements 2025,Q192058,2482059,018B316959E84738,Podiceps auritus_Horned Grebe,,high,,,Featherframe havell.yaml; plate title from audubon.org
260,,Fork-tail Petrel,,Hydrobates leucorhous,Leach's Storm-Petrel,lcspet,eBird/Clements 2025,Q211986,2482012,05E98392444BE5C7,Hydrobates leucorhous_Leach's Storm-Petrel,,high,,Audubon's “Fork-tail Petrel” is today's Leach's Storm-Petrel,Featherframe havell.yaml; plate title from audubon.org
261,,Hooping Crane,,Antigone canadensis,Sandhill Crane,sancra,eBird/Clements 2025,,,E196D6F9AB1DFF7E,Antigone canadensis_Sandhill Crane,,high,,Audubon's “Hooping Crane” is today's Sandhill Crane,Featherframe havell.yaml; plate title from audubon.org
262,,Tropic Bird,,Phaethon lepturus,White-tailed Tropicbird,whttro,eBird/Clements 2025,Q528117,2481364,1D07B501FEAF0840,Phaethon lepturus_White-tailed Tropicbird,,high,,Audubon's “Tropic Bird” is today's White-tailed Tropicbird,Featherframe havell.yaml; plate title from audubon.org
263,,Pigmy Curlew,,Calidris ferruginea,Curlew Sandpiper,cursan,eBird/Clements 2025,Q62345,2481741,143A681C9BCE9A20,Calidris ferruginea_Curlew Sandpiper,,high,,Audubon's “Pigmy Curlew” is today's Curlew Sandpiper,Featherframe havell.yaml; plate title from audubon.org
264,,Fulmar Petrel,,Fulmarus glacialis,Northern Fulmar,norful,eBird/Clements 2025,Q26896,2481433,049D9AEA4AFBFDFA,Fulmarus glacialis_Northern Fulmar,,high,,Audubon's “Fulmar Petrel” is today's Northern Fulmar,Featherframe havell.yaml; plate title from audubon.org
265,,Buff breasted Sandpiper,,Calidris subruficollis,Buff-breasted Sandpiper,bubsan,eBird/Clements 2025,Q27452709,8292425,3A3C62BC935BDA72,Calidris subruficollis_Buff-breasted Sandpiper,,high,,Audubon's “Buff breasted Sandpiper” is today's Buff-breasted Sandpiper,Featherframe havell.yaml; plate title from audubon.org
266,,Common Cormorant,,Phalacrocorax carbo,Great Cormorant,grecor,eBird/Clements 2025,Q25440,2481890,ACD40E8C3CC720BF,Phalacrocorax carbo_Great Cormorant,,high,,Audubon's “Common Cormorant” is today's Great Cormorant,Featherframe havell.yaml; plate title from audubon.org
267,,Arctic Yager,,Stercorarius longicaudus,Long-tailed Jaeger,lotjae,eBird/Clements 2025,Q216921,2481613,1D4464402EC9FD21,Stercorarius longicaudus_Long-tailed Jaeger,,high,,Audubon's “Arctic Yager” is today's Long-tailed Jaeger,Featherframe havell.yaml; plate title from audubon.org
268,,American Woodcock,,Scolopax minor,American Woodcock,amewoo,eBird/Clements 2025,Q694319,2481695,F4829920F1710E56,Scolopax minor_American Woodcock,,high,,,Featherframe havell.yaml; plate title from audubon.org
269,,Greenshank,,Tringa nebularia,Common Greenshank,comgre,eBird/Clements 2025,Q18840,2481726,18B415D28BBF934C,Tringa nebularia_Common Greenshank,,high,,Audubon's “Greenshank” is today's Common Greenshank,Featherframe havell.yaml; plate title from audubon.org
270,,Stormy Petrel,,Oceanites oceanicus,Wilson's Storm-Petrel,wispet,eBird/Clements 2025,Q607024,5229419,D295D249BDB7E046,,,high,,Audubon's “Stormy Petrel” is today's Wilson's Storm-Petrel,Featherframe havell.yaml; plate title from audubon.org
271,,Frigate Pelican,,Fregata magnificens,Magnificent Frigatebird,magfri,eBird/Clements 2025,Q647512,2480189,8AA3B42E976C7B2A,Fregata magnificens_Magnificent Frigatebird,,high,,Audubon's “Frigate Pelican” is today's Magnificent Frigatebird,Featherframe havell.yaml; plate title from audubon.org
272,,Richardson's Jager,,Stercorarius parasiticus,Parasitic Jaeger,parjae,eBird/Clements 2025,Q203053,2481621,39086887E9EAFEB3,Stercorarius parasiticus_Parasitic Jaeger,,high,,Audubon's “Richardson's Jager” is today's Parasitic Jaeger,Featherframe havell.yaml; plate title from audubon.org
273,,Cayenne Tern,,Thalasseus maximus,Royal Tern,royter1,eBird/Clements 2025,Q28423,5789281,68EDCC23F8128FA8,Thalasseus maximus_Royal Tern,,high,,Audubon's “Cayenne Tern” is today's Royal Tern,Featherframe havell.yaml; plate title from audubon.org
274,,"Semipalmated Snipe, or Willet",,Tringa semipalmata,Willet,willet1,eBird/Clements 2025,Q831611,5789298,E7A14E91456CB432,Tringa semipalmata_Willet,,high,,"Audubon's “Semipalmated Snipe, or Willet” is today's Willet",Featherframe havell.yaml; plate title from audubon.org
275,,Noddy Tern,,Anous stolidus,Brown Noddy,brnnod,eBird/Clements 2025,Q525717,2481113,A070171E774B95B5,Anous stolidus_Brown Noddy,,high,,Audubon's “Noddy Tern” is today's Brown Noddy,Featherframe havell.yaml; plate title from audubon.org
276,,King Duck,,Somateria spectabilis,King Eider,kineid,eBird/Clements 2025,Q207846,2498350,F3D7491432CC59E7,Somateria spectabilis_King Eider,,high,,Audubon's “King Duck” is today's King Eider,Featherframe havell.yaml; plate title from audubon.org
277,,Hutchins's Barnacle Goose,,Branta hutchinsii,Cackling Goose,cacgoo1,eBird/Clements 2025,Q244189,5232452,60214D4970BA4158,Branta hutchinsii_Cackling Goose,,high,,Audubon's “Hutchins's Barnacle Goose” is today's Cackling Goose,Featherframe havell.yaml; plate title from audubon.org
278,,Schinz's Sandpiper,,Calidris fuscicollis,White-rumped Sandpiper,whrsan,eBird/Clements 2025,Q599749,2481756,153BA3069DFCDDCA,Calidris fuscicollis_White-rumped Sandpiper,,high,,Audubon's “Schinz's Sandpiper” is today's White-rumped Sandpiper,Featherframe havell.yaml; plate title from audubon.org
279,,Cabot's Tern,,Thalasseus sandvicensis,Sandwich Tern,santer1,eBird/Clements 2025,Q27547,2481240,04B49AE78FFF9B68,Thalasseus sandvicensis_Sandwich Tern,,high,,Audubon's “Cabot's Tern” is today's Sandwich Tern,Featherframe havell.yaml; plate title from audubon.org
280,,Black Tern,,Chlidonias niger,Black Tern,blkter,eBird/Clements 2025,Q27215,2481119,115AF02DD58018FB,Chlidonias niger_Black Tern,,high,,,Featherframe havell.yaml; plate title from audubon.org
281,,Great White Heron,,,,,,,,,,,none,,"not identified here yet: Featherframe pins one plate per species, and this is likely a second plate of one",
282,,White-winged silvery Gull,,Larus glaucoides,Iceland Gull,y00478,eBird/Clements 2025,Q174232,2481156,FB4FCB27,Larus glaucoides_Iceland Gull,,high,,Audubon's “White-winged silvery Gull” is today's Iceland Gull,Featherframe havell.yaml; plate title from audubon.org
283,,Wandering Shearwater,,Ardenna gravis,Great Shearwater,greshe,eBird/Clements 2025,Q27074609,8596590,8B879DFA2AFB1481,,,high,,Audubon's “Wandering Shearwater” is today's Great Shearwater,Featherframe havell.yaml; plate title from audubon.org
284,,Purple Sandpiper,,Calidris maritima,Purple Sandpiper,pursan,eBird/Clements 2025,Q62359,2481743,0A0B84313ACFFB2F,Calidris maritima_Purple Sandpiper,,high,,,Featherframe havell.yaml; plate title from audubon.org
285,,Fork-tailed Gull,,Xema sabini,Sabine's Gull,sabgul,eBird/Clements 2025,Q212047,2481221,86182656472B476B,Xema sabini_Sabine's Gull,,high,,Audubon's “Fork-tailed Gull” is today's Sabine's Gull,Featherframe havell.yaml; plate title from audubon.org
286,,White-fronted Goose,,Anser albifrons,Greater White-fronted Goose,gwfgoo,eBird/Clements 2025,Q172093,2498017,466E9077BE220EBE,Anser albifrons_Greater White-fronted Goose,,high,,Audubon's “White-fronted Goose” is today's Greater White-fronted Goose,Featherframe havell.yaml; plate title from audubon.org
287,,Ivory Gull,,Pagophila eburnea,Ivory Gull,ivogul,eBird/Clements 2025,Q723064,2481202,FED91A1F00C4E67C,,,high,,,Featherframe havell.yaml; plate title from audubon.org
288,,Yellow Shank,,Tringa flavipes,Lesser Yellowlegs,lesyel,eBird/Clements 2025,Q28000,2481721,2C7A2673444BECF0,Tringa flavipes_Lesser Yellowlegs,,high,,Audubon's “Yellow Shank” is today's Lesser Yellowlegs,Featherframe havell.yaml; plate title from audubon.org
289,,Solitary Sandpiper,,Tringa solitaria,Solitary Sandpiper,solsan,eBird/Clements 2025,Q836304,2481710,D4A73324DB24F142,Tringa solitaria_Solitary Sandpiper,,high,,,Featherframe havell.yaml; plate title from audubon.org
290,,Red backed Sandpiper,,Calidris alpina,Dunlin,dunlin,eBird/Clements 2025,Q26650,2481759,15369E8EB4CBD064,Calidris alpina_Dunlin,,high,,Audubon's “Red backed Sandpiper” is today's Dunlin,Featherframe havell.yaml; plate title from audubon.org
291,,Herring Gull,,Larus smithsonianus,American Herring Gull,amhgul1,eBird/Clements 2025,Q469297,4848480,60F32AF8F5E3E40B,Larus argentatus_Herring Gull,,high,,Audubon's “Herring Gull” is today's American Herring Gull; eBird splits Herring Gull; the binomial stays with European Herring Gull,Featherframe havell.yaml; plate title from audubon.org
292,,Crested Grebe,,Podiceps cristatus,Great Crested Grebe,grcgre1,eBird/Clements 2025,Q25422,2482054,8F269702DC208010,Podiceps cristatus_Great Crested Grebe,,high,,Audubon's “Crested Grebe” is today's Great Crested Grebe,Featherframe havell.yaml; plate title from audubon.org
293,,Large billed Puffin,,Fratercula corniculata,Horned Puffin,horpuf,eBird/Clements 2025,Q855367,2481359,24111FA5AE00A5DB,,,high,,Audubon's “Large billed Puffin” is today's Horned Puffin,Featherframe havell.yaml; plate title from audubon.org
294,,Pectoral Sandpiper,,Calidris melanotos,Pectoral Sandpiper,pecsan,eBird/Clements 2025,Q260716,2481744,ACC99F35F0E8F7EB,Calidris melanotos_Pectoral Sandpiper,,high,,,Featherframe havell.yaml; plate title from audubon.org
295,,Manks Shearwater,,Puffinus puffinus,Manx Shearwater,manshe,eBird/Clements 2025,Q208405,5229380,5AEDC00231A5201C,Puffinus puffinus_Manx Shearwater,,high,,Audubon's “Manks Shearwater” is today's Manx Shearwater,Featherframe havell.yaml; plate title from audubon.org
296,,Barnacle Goose,,Branta leucopsis,Barnacle Goose,bargoo,eBird/Clements 2025,Q26680,5232464,3163ED86A508BB83,Branta leucopsis_Barnacle Goose,,high,,,Featherframe havell.yaml; plate title from audubon.org
297,,Harlequin Duck,,Histrionicus histrionicus,Harlequin Duck,harduc,eBird/Clements 2025,Q331179,2498224,BCBD2EAECA774B19,Histrionicus histrionicus_Harlequin Duck,,high,,,Featherframe havell.yaml; plate title from audubon.org
298,,Red-necked Grebe,,Podiceps grisegena,Red-necked Grebe,rengre,eBird/Clements 2025,Q179919,2482051,1CBD2CED48B674A4,Podiceps grisegena_Red-necked Grebe,,high,,,Featherframe havell.yaml; plate title from audubon.org
299,,Dusky Petrel,,Puffinus lherminieri,Sargasso Shearwater,audshe,eBird/Clements 2025,Q1262671,5229361,06C36D41443C29AF,,,high,,Audubon's “Dusky Petrel” is today's Sargasso Shearwater,Featherframe havell.yaml; plate title from audubon.org
300,,Golden Plover,,Pluvialis dominica,American Golden-Plover,amgplo,eBird/Clements 2025,Q216836,2480328,2143A8526CA7C809,Pluvialis dominica_American Golden-Plover,,high,,Audubon's “Golden Plover” is today's American Golden-Plover,Featherframe havell.yaml; plate title from audubon.org
301,,Canvas backed Duck,,Aythya valisineria,Canvasback,canvas,eBird/Clements 2025,Q378533,2498256,1929E1E16E073570,Aythya valisineria_Canvasback,,high,,Audubon's “Canvas backed Duck” is today's Canvasback,Featherframe havell.yaml; plate title from audubon.org
302,,Dusky Duck,,Anas rubripes,American Black Duck,ambduc,eBird/Clements 2025,Q845292,9581438,C732CB106EE8BAE8,Anas rubripes_American Black Duck,,high,,Audubon's “Dusky Duck” is today's American Black Duck,Featherframe havell.yaml; plate title from audubon.org
303,,Bartram Sandpiper,,Bartramia longicauda,Upland Sandpiper,uplsan,eBird/Clements 2025,Q530194,2481705,BF1DA86E0714FD01,Bartramia longicauda_Upland Sandpiper,,high,,Audubon's “Bartram Sandpiper” is today's Upland Sandpiper,Featherframe havell.yaml; plate title from audubon.org
304,,Turn-stone,,Arenaria interpres,Ruddy Turnstone,rudtur,eBird/Clements 2025,Q26892,2481776,DC3050A9771F2CE9,Arenaria interpres_Ruddy Turnstone,,high,,Audubon's “Turn-stone” is today's Ruddy Turnstone,Featherframe havell.yaml; plate title from audubon.org
305,,Purple Gallinule,,Porphyrio martinica,Purple Gallinule,purgal2,eBird/Clements 2025,Q27074644,5228136,72A4F8EBF168E80D,Porphyrio martinica_Purple Gallinule,,high,,,Featherframe havell.yaml; plate title from audubon.org
306,,"Great Northern Diver, or Loon",,Gavia immer,Common Loon,comloo,eBird/Clements 2025,Q190342,2481962,7E02237895784E9A,Gavia immer_Common Loon,,high,,"Audubon's “Great Northern Diver, or Loon” is today's Common Loon",Featherframe havell.yaml; plate title from audubon.org
307,,Blue Crane or Heron,,Egretta caerulea,Little Blue Heron,libher,eBird/Clements 2025,Q371028,2480894,11512CF46992C660,Egretta caerulea_Little Blue Heron,,high,,Audubon's “Blue Crane or Heron” is today's Little Blue Heron,Featherframe havell.yaml; plate title from audubon.org
308,,"Tell-tale Godwit, or Snipe",,Tringa melanoleuca,Greater Yellowlegs,greyel,eBird/Clements 2025,Q570379,2481720,6EB81C98A8FD9CE6,Tringa melanoleuca_Greater Yellowlegs,,high,,"Audubon's “Tell-tale Godwit, or Snipe” is today's Greater Yellowlegs",Featherframe havell.yaml; plate title from audubon.org
309,,Great Tern,,Sterna hirundo,Common Tern,comter,eBird/Clements 2025,Q18875,9367409,4D2FF6F13790ED7E,Sterna hirundo_Common Tern,,high,,Audubon's “Great Tern” is today's Common Tern,Featherframe havell.yaml; plate title from audubon.org
310,,Spotted Sandpiper,,Actitis macularius,Spotted Sandpiper,sposan,eBird/Clements 2025,Q389691,,0D88C072E71FE4B8,Actitis macularius_Spotted Sandpiper,,high,,,Featherframe havell.yaml; plate title from audubon.org
311,,American White Pelican,,Pelecanus erythrorhynchos,American White Pelican,amwpel,eBird/Clements 2025,Q735190,5229155,866903B93D70056B,Pelecanus erythrorhynchos_American White Pelican,,high,,,Featherframe havell.yaml; plate title from audubon.org
312,,Long-tailed Duck,,Clangula hyemalis,Long-tailed Duck,lotduc,eBird/Clements 2025,Q26597,2498273,AF0C7BDEC7CEBAAC,Clangula hyemalis_Long-tailed Duck,,high,,,Featherframe havell.yaml; plate title from audubon.org
313,,Blue-Winged Teal,,Spatula discors,Blue-winged Teal,buwtea,eBird/Clements 2025,Q28106778,9422220,90E2543E9A4ABA0A,Spatula discors_Blue-winged Teal,,high,,Audubon's “Blue-Winged Teal” is today's Blue-winged Teal,Featherframe havell.yaml; plate title from audubon.org
314,,Black-headed Gull,,Leucophaeus atricilla,Laughing Gull,laugul,eBird/Clements 2025,Q528764,6065844,6CDC3C9C8B50EA71,Leucophaeus atricilla_Laughing Gull,,high,,Audubon's “Black-headed Gull” is today's Laughing Gull,Featherframe havell.yaml; plate title from audubon.org
315,,Red-breasted Sandpiper,,Calidris canutus,Red Knot,redkno,eBird/Clements 2025,Q27124,2481765,B5CE8FAD18923A94,Calidris canutus_Red Knot,,high,,Audubon's “Red-breasted Sandpiper” is today's Red Knot,Featherframe havell.yaml; plate title from audubon.org
316,,Black-bellied Darter,,Anhinga anhinga,Anhinga,anhing,eBird/Clements 2025,Q469940,2482082,FBDAE86A5CF7B698,Anhinga anhinga_Anhinga,,high,,Audubon's “Black-bellied Darter” is today's Anhinga,Featherframe havell.yaml; plate title from audubon.org
317,,"Black, or Surf Duck",,Melanitta perspicillata,Surf Scoter,sursco,eBird/Clements 2025,Q742468,2498246,624078BAC17F8111,Melanitta perspicillata_Surf Scoter,,high,,"Audubon's “Black, or Surf Duck” is today's Surf Scoter",Featherframe havell.yaml; plate title from audubon.org
318,,American Avocet,,Recurvirostra americana,American Avocet,ameavo,eBird/Clements 2025,Q469992,2480258,8EB0C1FABC1D725A,Recurvirostra americana_American Avocet,,high,,,Featherframe havell.yaml; plate title from audubon.org
319,,Lesser Tern,,Sternula antillarum,Least Tern,leater1,eBird/Clements 2025,Q28168,5789285,BE78E765F1DA8123,Sternula antillarum_Least Tern,,high,,Audubon's “Lesser Tern” is today's Least Tern,Featherframe havell.yaml; plate title from audubon.org
320,,Little Sandpiper,,Calidris minutilla,Least Sandpiper,leasan,eBird/Clements 2025,Q913052,2481745,A47B0BD448AA34E0,Calidris minutilla_Least Sandpiper,,high,,Audubon's “Little Sandpiper” is today's Least Sandpiper,Featherframe havell.yaml; plate title from audubon.org
