plate,title,legend,image_url,notes
70,Henslow's Bunting,Male. | Indian Pink-root or Worm-grass. Spigelia marilandica. | Shape of Tail.,https://www.audubon.org/sites/default/files/boa_plates/plate-70-henslows-bunting.jpg,
71,Winter Hawk,,https://www.audubon.org/sites/default/files/boa_plates/plate-71-winter-hawk.jpg,
72,Swallow-tailed Hawk,Male. | Garter Snake.,https://www.audubon.org/sites/default/files/boa_plates/plate-72-swallow-tailed-hawk.jpg,
73,Wood Thrush,"Male, 1. Female, 2. | Dogwood. Cornus florida.",https://www.audubon.org/sites/default/files/boa_plates/plate-73-wood-thrush.jpg,
74,Indigo Bird,"Male Adult, 1. M. first year 2. 2nd. 3. Female, 4. | Wild Sarsaparilla Schisandra coccinea.",https://www.audubon.org/sites/default/files/boa_plates/plate-74-indigo-bird.jpg,
75,Le Petit Caporal,,https://www.audubon.org/sites/default/files/boa_plates/plate-75-le-petit-caporal.jpg,
76,Virginian Partridge,"Male Adult, 1. Young, 2. Female Adult, 3. Young, 4. very young Birds, 5.",https://www.audubon.org/sites/default/files/boa_plates/plate-76-virginian-partridge.jpg,
77,Belted Kingfisher,"Male, 1, 2. Female, 3.",https://www.audubon.org/sites/default/files/boa_plates/plate-77-belted-kingfisher.jpg,
78,Great Carolina Wren,1. M. & 2. Female. | Dwarf Buck-eye. Aesculus Pavia.,https://www.audubon.org/sites/default/files/boa_plates/plate-78-great-carolina-wren.jpg,
79,Tyrant Fly-catcher,"1. M. & 2. Female. | Cotton-wood, Populus candicans.",https://www.audubon.org/sites/default/files/boa_plates/plate-79-tyrant-fly-catcher.jpg,
80,Prairie Titlark,,https://www.audubon.org/sites/default/files/boa_plates/plate-80-prairie-titlark.jpg,
81,"Fish Hawk, or Osprey",Male. | Weak Fish.,https://www.audubon.org/sites/default/files/boa_plates/plate-81-fish-hawk-or-osprey.jpg,
82,Whip-poor-will,"Male, 1. Female, 2, 3. | Black Oak or Quercitron. Quercus tinctoria.",https://www.audubon.org/sites/default/files/boa_plates/plate-82-whip-poor-will.jpg,
83,House Wren,"Male, 1. Female, 2. Young, 3, 4, 5.",https://www.audubon.org/sites/default/files/boa_plates/plate-83-house-wren.jpg,
84,Blue-Grey Fly-catcher,Male 1. Female 2. | Black Walnut. Juglans nigra.,https://www.audubon.org/sites/default/files/boa_plates/plate-84-blue-grey-fly-catcher.jpg,
85,Yellow Throated Warbler,Male. | Chinquapin. Castenea pumila.,https://www.audubon.org/sites/default/files/boa_plates/plate-85-yellow-throated-warbler.jpg,
86,Black Warrior,,https://www.audubon.org/sites/default/files/boa_plates/plate-86-black-warrior.jpg,
87,Florida Jay,"Male, 1. Female, 2. | Persimon Tree. Diospyros virginiana.",https://www.audubon.org/sites/default/files/boa_plates/plate-87-florida-jay.jpg,
88,Autumnal Warbler,,https://www.audubon.org/sites/default/files/boa_plates/plate-88-autumnal-warbler.jpg,
89,Nashville Warbler,"Male, 1. Female, 2. | Swamp Spice. Ilex prinoides.",https://www.audubon.org/sites/default/files/boa_plates/plate-89-nashville-warbler.jpg,
90,Black & White Creeper,Male | Black Larch Pinus pendula.,https://www.audubon.org/sites/default/files/boa_plates/plate-90-black-white-creeper.jpg,
91,Broad-winged Hawk,"Male, 1. Female, 2. | Pig-nut Hickory. Juglans porcina.",https://www.audubon.org/sites/default/files/boa_plates/plate-91-broad-winged-hawk.jpg,
92,Pigeon Hawk,"Male, 1. Female, 2.",https://www.audubon.org/sites/default/files/boa_plates/plate-92-pigeon-hawk.jpg,
93,Seaside Finch,1. M. & 2. Female. | Carolina Rose. Rosa Carolina.,https://www.audubon.org/sites/default/files/boa_plates/plate-93-seaside-finch.jpg,
94,"Grass Finch, or Bay-winged Bunting",Male. | Prickly Pear or Indian Fig. Cactus Opuntia.,https://www.audubon.org/sites/default/files/boa_plates/plate-94-grass-finch.jpg,
95,Blue-eyed yellow Warbler,Plant Wisterea.,https://www.audubon.org/sites/default/files/boa_plates/plate-95-blue-eyed-yellow-warbler.jpg,
96,Columbia Jay,"Male, 1. Female, 2.",https://www.audubon.org/sites/default/files/boa_plates/plate-96-columbia-jay.jpg,
97,Little Screech Owl,"Adult, 1. Young, 2, 3. | Jersey Pine. Pinus inops.",https://www.audubon.org/sites/default/files/boa_plates/plate-97-little-screech-owl.jpg,
98,White-bellied Swallow,"Male, 1. Female, 2.",https://www.audubon.org/sites/default/files/boa_plates/plate-98-white-bellied-swallow.jpg,
99,Cow-pen Bird,"Male, 1. Female, 2.",https://www.audubon.org/sites/default/files/boa_plates/plate-99-cow-pen-bird.jpg,
100,Marsh Wren,"Male, 1. Female, 2, 3. Nest, 4.",https://www.audubon.org/sites/default/files/boa_plates/plate-100-marsh-wren.jpg,
101,Raven,Male. | Thick Shell-bark Hickory. Juglans laciniosa.,https://www.audubon.org/sites/default/files/boa_plates/plate-101-raven.jpg,
102,Blue Jay,Male. 1. Female. 2. 3.,https://www.audubon.org/sites/default/files/boa_plates/plate-102-blue-jay.jpg,
103,Canada Warbler,"Male, 1. Female, 2. | Big Laurel. Rhododendron maximum.",https://www.audubon.org/sites/default/files/boa_plates/plate-103-canada-warbler.jpg,
104,Chipping Sparrow,Male. | Black Locust. Robinia Pseudacacia.,https://www.audubon.org/sites/default/files/boa_plates/plate-104-chipping-sparrow.jpg,
105,Red-breasted Nuthatch,Male. 1. Female. 2.,https://www.audubon.org/sites/default/files/boa_plates/plate-105-red-breasted-nuthatch.jpg,
106,"Black Vulture, or Carrion Crow",Male 1 and Female 2. | American Deer. Cervus virginianus.,https://www.audubon.org/sites/default/files/boa_plates/plate-106-black-vulture-or-carrion-crow.jpg,
107,Canada Jay,Male 1. Female 2. | White Oak. Quercus alba.,https://www.audubon.org/sites/default/files/boa_plates/plate-107-canada-jay.jpg,
108,Fox-coloured Sparrow,"Male, 1. Female, 2.",https://www.audubon.org/sites/default/files/boa_plates/plate-108-fox-coloured-sparrow.jpg,
109,Savannah Finch,"Male, 1. Female, 2. | 1. Spigelia Marilandiea. 2. Phlox aristata.",https://www.audubon.org/sites/default/files/boa_plates/plate-109-savannah-finch.jpg,
110,Hooded Warbler,Male 1. Female 2.,https://www.audubon.org/sites/default/files/boa_plates/plate-110-hooded-warbler.jpg,
111,Pileated Woodpecker,"Adult Male, 1. Adult Female, 2. Young Males, 3, 4. | Racoon Grape. Vitis aestivalis.",https://www.audubon.org/sites/default/files/boa_plates/plate-111-pileated-woodpecker.jpg,
112,Downy Woodpecker,Male. 1. Female. 2. | Bignonia capreolata.,https://www.audubon.org/sites/default/files/boa_plates/plate-112-downy-woodpecker.jpg,
113,Blue-bird,"Male 1. Female 2. Young 3. | Great Mullein, Verbascum Thapsus.",https://www.audubon.org/sites/default/files/boa_plates/plate-113-blue-bird.jpg,
