volume,plate,list_name,list_latin,caption_latin,bhl_barcode,bhl_item,leaf,bhl_page,orientation,rotate,scan_url,page_url,sheet_asset,crop_asset,notes
VII,31,Marsh Tern,Hydrochelidon fluviatilis,Hydrochelidon fluviatilis,birdsAustraliav7Goul,189241,132,48508833,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0132.jp2,https://www.biodiversitylibrary.org/page/48508833,sheet-birdsAustraliav7Goul-0132.jpg,crop-birdsAustraliav7Goul-0132.jpg,
VII,32,Sooty Tern,Onychoprion fuliginosus,Onychoprion fuliginosus,birdsAustraliav7Goul,189241,136,48508837,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0136.jp2,https://www.biodiversitylibrary.org/page/48508837,sheet-birdsAustraliav7Goul-0136.jpg,crop-birdsAustraliav7Goul-0136.jpg,
VII,33,Panayan Tern,Onychoprion panaya,Onychoprion panaya,birdsAustraliav7Goul,189241,140,48508841,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0140.jp2,https://www.biodiversitylibrary.org/page/48508841,sheet-birdsAustraliav7Goul-0140.jpg,crop-birdsAustraliav7Goul-0140.jpg,
VII,34,Noddy Tern,Anous stolidus,Anous stolidus,birdsAustraliav7Goul,189241,144,48508845,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0144.jp2,https://www.biodiversitylibrary.org/page/48508845,sheet-birdsAustraliav7Goul-0144.jpg,crop-birdsAustraliav7Goul-0144.jpg,
VII,35,Lesser Noddy,Anous melanops,Anous melanops,birdsAustraliav7Goul,189241,148,48508849,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0148.jp2,https://www.biodiversitylibrary.org/page/48508849,sheet-birdsAustraliav7Goul-0148.jpg,crop-birdsAustraliav7Goul-0148.jpg,
VII,36,White-capped Tern,Anous leucocapillus,Anous leucocapillus,birdsAustraliav7Goul,189241,152,48508853,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0152.jp2,https://www.biodiversitylibrary.org/page/48508853,sheet-birdsAustraliav7Goul-0152.jpg,crop-birdsAustraliav7Goul-0152.jpg,
VII,37,Grey Noddy,Anous cinereus,Anous cinereus,birdsAustraliav7Goul,189241,156,48508857,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0156.jp2,https://www.biodiversitylibrary.org/page/48508857,sheet-birdsAustraliav7Goul-0156.jpg,crop-birdsAustraliav7Goul-0156.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,38,Wandering Albatros,Diomedea exulans,Diomedea exulans,birdsAustraliav7Goul,189241,160,48508861,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0160.jp2,https://www.biodiversitylibrary.org/page/48508861,sheet-birdsAustraliav7Goul-0160.jpg,crop-birdsAustraliav7Goul-0160.jpg,
VII,39,Short-tailed Albatros,Diomedea brachyura,,birdsAustraliav7Goul,189241,164,48508865,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0164.jp2,https://www.biodiversitylibrary.org/page/48508865,sheet-birdsAustraliav7Goul-0164.jpg,crop-birdsAustraliav7Goul-0164.jpg,"caption lies in the binding gutter, not visible even at full resolution (checked); facing text leaf 165 opens ""DIOMEDEA BRACHYURA, Temm. Short-tailed Albatros. . Diomedea ""; subject consistent; not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,40,Cautious Albatros,Diomedea cauta,Diomedea cauta,birdsAustraliav7Goul,189241,168,48508869,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0168.jp2,https://www.biodiversitylibrary.org/page/48508869,sheet-birdsAustraliav7Goul-0168.jpg,crop-birdsAustraliav7Goul-0168.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
